events,profile,perturbation,metric,variant,phrases,mean,std,median
1,independent,initialisation,correct_coordinate_drift,cel_01,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_02,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_03,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_04,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_05,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_06,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_07,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_08,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_09,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_10,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_11,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_12,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_13,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_14,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_15,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_01_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_02_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_03_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_04_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_05_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_06_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_07_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_08_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_09_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_10_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_11_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_12_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_13_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_14_lw,0,,,
1,independent,initialisation,correct_coordinate_drift,cel_15_lw,0,,,
1,independent,initialisation,joint_cosine,cel_01,30,0.8423317957971744,0.16378533674755508,0.8707635960664881
1,independent,initialisation,joint_cosine,cel_02,30,0.8248830846740198,0.18305473750351925,0.8893257041125374
1,independent,initialisation,joint_cosine,cel_03,30,0.8428294811372937,0.16609870596301,0.894261897413293
1,independent,initialisation,joint_cosine,cel_04,30,0.8443633236212574,0.13042907992615715,0.8846678500659375
1,independent,initialisation,joint_cosine,cel_05,30,0.9578204457681831,0.07171284197167627,0.9851216435337574
1,independent,initialisation,joint_cosine,cel_06,30,0.9167085723368995,0.076448339853681,0.9400990452920306
1,independent,initialisation,joint_cosine,cel_07,30,0.9525729029538446,0.07490169147845648,0.9837460598172294
1,independent,initialisation,joint_cosine,cel_08,30,0.911195175075035,0.07581892300747739,0.9396961462434845
1,independent,initialisation,joint_cosine,cel_09,30,0.9003216117382273,0.11342760458862519,0.9310185846509281
1,independent,initialisation,joint_cosine,cel_10,30,0.9225623782581918,0.08185974301548413,0.9319092014400665
1,independent,initialisation,joint_cosine,cel_11,30,0.8876605939063276,0.12560944747540967,0.9274384180432085
1,independent,initialisation,joint_cosine,cel_12,30,0.8629465550445772,0.11468509804245107,0.8908401545343404
1,independent,initialisation,joint_cosine,cel_13,30,0.9583337269445001,0.06829046548440271,0.9866191272742415
1,independent,initialisation,joint_cosine,cel_14,30,0.9176072990480006,0.07438530749706285,0.9425488619870808
1,independent,initialisation,joint_cosine,cel_15,30,0.9554931547579973,0.07077827240890548,0.9853393999290904
1,independent,initialisation,joint_cosine,cel_01_lw,30,0.8598707313343054,0.14843959930440778,0.8906151975730854
1,independent,initialisation,joint_cosine,cel_02_lw,30,0.8340981913184262,0.17809310569414677,0.8982816092180401
1,independent,initialisation,joint_cosine,cel_03_lw,30,0.8497069026561245,0.15983316546075008,0.8832506403154388
1,independent,initialisation,joint_cosine,cel_04_lw,30,0.8571789525263929,0.11328349265364836,0.8717171496143679
1,independent,initialisation,joint_cosine,cel_05_lw,30,0.9668770533749351,0.04992216705740365,0.9869890308691788
1,independent,initialisation,joint_cosine,cel_06_lw,30,0.9608785384257619,0.060545659852172556,0.9873364863774534
1,independent,initialisation,joint_cosine,cel_07_lw,30,0.9507219120995761,0.0700079849457515,0.9754979316164201
1,independent,initialisation,joint_cosine,cel_08_lw,30,0.8747889519800777,0.10780230591972388,0.896510556652518
1,independent,initialisation,joint_cosine,cel_09_lw,30,0.9592543987970658,0.059265108185732385,0.9854770650578015
1,independent,initialisation,joint_cosine,cel_10_lw,30,0.9481774244242591,0.07334284086367267,0.9817091958715
1,independent,initialisation,joint_cosine,cel_11_lw,30,0.9314264323771352,0.0844871972611328,0.9498997063887982
1,independent,initialisation,joint_cosine,cel_12_lw,30,0.8671088620336314,0.10647001043698863,0.8831486803103952
1,independent,initialisation,joint_cosine,cel_13_lw,30,0.957376618080909,0.050060369466250004,0.9737000715861237
1,independent,initialisation,joint_cosine,cel_14_lw,30,0.9494303101283239,0.058544269601652314,0.9679101796391228
1,independent,initialisation,joint_cosine,cel_15_lw,30,0.9621478187167128,0.05979958227544057,0.988465553925475
1,independent,initialisation,joint_directed,cel_01,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_02,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_03,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_04,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_05,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_06,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_07,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_08,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_09,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_10,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_11,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_12,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_13,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_14,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_15,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_01_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_02_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_03_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_04_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_05_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_06_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_07_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_08_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_09_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_10_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_11_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_12_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_13_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_14_lw,30,1.0,0.0,1.0
1,independent,initialisation,joint_directed,cel_15_lw,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_01,30,1.0,0.0,1.0
1,independent,initialisation,onset_directed,cel_02,30,1.0,0.0,1.0
