events,variant,reference,metric,n,median_variant_minus_reference,mean_variant_minus_reference,variant_better,variant_worse,tied
1,clockwise,orthogonal,pitch_mae_cents,150,-0.003784196998752134,-325.0215825205059,84,66,0
1,clockwise,orthogonal,onset_mae_ms,150,-1.712951336330093e-06,-2.2633377280248577,76,74,0
1,clockwise,orthogonal,log_spectral_distance_db,150,-3.2866409473781305e-05,-3.8766501070467956,75,75,0
1,clockwise,orthogonal,joint_event_error,150,-2.669643803384855e-06,-0.13543223532999815,81,69,0
1,clockwise_lw,orthogonal_lw,pitch_mae_cents,150,-0.021826923485724688,-308.85213124381943,100,50,0
1,clockwise_lw,orthogonal_lw,onset_mae_ms,150,-0.003961905514660025,-2.202656797903981,97,53,0
1,clockwise_lw,orthogonal_lw,log_spectral_distance_db,150,-0.0739590407965154,-3.8136980442704673,97,53,0
1,clockwise_lw,orthogonal_lw,joint_event_error,150,-1.1709086486949115e-05,-0.12869444530830138,97,53,0
1,fading,orthogonal,pitch_mae_cents,150,-0.015197218967516541,-325.0437288862825,103,47,0
1,fading,orthogonal,onset_mae_ms,150,-0.0013294702621013954,-2.268479464111526,94,56,0
1,fading,orthogonal,log_spectral_distance_db,150,-0.054590441824677025,-3.9551017216982367,97,53,0
1,fading,orthogonal,joint_event_error,150,-7.705518855671416e-06,-0.13544317530818348,103,47,0
1,fading_lw,orthogonal_lw,pitch_mae_cents,150,-0.016363777085862494,-308.8509205733813,98,52,0
1,fading_lw,orthogonal_lw,onset_mae_ms,150,-0.007954652570862919,-2.2066954934344714,104,46,0
1,fading_lw,orthogonal_lw,log_spectral_distance_db,150,-0.1517123975229952,-3.8726897330692593,103,47,0
1,fading_lw,orthogonal_lw,joint_event_error,150,-1.0260449709177939e-05,-0.12869586767655739,102,48,0
1,fading,clockwise,pitch_mae_cents,150,-0.0067232505271203336,-0.022146365776694498,93,57,0
1,fading,clockwise,onset_mae_ms,150,-0.001413010252526714,-0.005141736086667903,89,61,0
1,fading,clockwise,log_spectral_distance_db,150,-0.0250480975577851,-0.07845161465144242,93,57,0
1,fading,clockwise,joint_event_error,150,-4.358017094162699e-06,-1.0939978185326742e-05,96,54,0
1,fading_lw,clockwise_lw,pitch_mae_cents,150,-0.00014729766340053506,0.0012106704381404014,83,67,0
1,fading_lw,clockwise_lw,onset_mae_ms,150,-9.339729711843603e-05,-0.004038695530490892,89,61,0
1,fading_lw,clockwise_lw,log_spectral_distance_db,150,-0.0016236689211520956,-0.05899168879879192,87,63,0
1,fading_lw,clockwise_lw,joint_event_error,150,-5.719952640233487e-08,-1.4223682559788347e-06,84,66,0
1,fading_lw,fading,pitch_mae_cents,150,-9.771099845510754e-05,0.004047118052008071,81,69,0
1,fading_lw,fading,onset_mae_ms,150,-2.043718416722129e-05,-9.760983006849393e-05,81,69,0
1,fading_lw,fading,log_spectral_distance_db,150,-0.0001721572732248839,-0.0004751098034439079,77,73,0
1,fading_lw,fading,joint_event_error,150,-5.0266480004140114e-08,1.8090553444843567e-06,84,66,0
2,clockwise,orthogonal,pitch_mae_cents,150,-251.00968966407072,-282.3231031298589,109,41,0
2,clockwise,orthogonal,onset_mae_ms,150,-1.033723675013476,-22.816114899267443,97,53,0
2,clockwise,orthogonal,log_spectral_distance_db,150,-2.3683615555472315,-5.749281356885158,100,50,0
2,clockwise,orthogonal,joint_event_error,150,-0.10237180403627524,-0.150021650633259,106,44,0
2,clockwise_lw,orthogonal_lw,pitch_mae_cents,150,-255.7374021421389,-283.13414806579135,110,40,0
2,clockwise_lw,orthogonal_lw,onset_mae_ms,150,-1.0147280371362033,-28.138214109157584,99,51,0
2,clockwise_lw,orthogonal_lw,log_spectral_distance_db,150,-1.9801760133522648,-5.83960825815514,101,49,0
2,clockwise_lw,orthogonal_lw,joint_event_error,150,-0.09926282492626365,-0.15358320456790978,103,47,0
2,fading,orthogonal,pitch_mae_cents,150,-347.2581623531695,-336.987097942008,126,24,0
2,fading,orthogonal,onset_mae_ms,150,-2.7602552495244943,-48.94348273117384,121,29,0
2,fading,orthogonal,log_spectral_distance_db,150,-9.223912101984137,-7.820006051427456,122,28,0
2,fading,orthogonal,joint_event_error,150,-0.19756083773211483,-0.18798872873903516,124,26,0
2,fading_lw,orthogonal_lw,pitch_mae_cents,150,-287.5387399591226,-303.18692267742,118,32,0
2,fading_lw,orthogonal_lw,onset_mae_ms,150,-2.1906966765254388,-42.630757822257145,119,31,0
2,fading_lw,orthogonal_lw,log_spectral_distance_db,150,-8.5596330950431,-7.0937465422068575,116,34,0
2,fading_lw,orthogonal_lw,joint_event_error,150,-0.15375288891011263,-0.17290950655236012,116,34,0
2,fading,clockwise,pitch_mae_cents,150,-0.051456514490264144,-54.66399481214916,106,44,0
2,fading,clockwise,onset_mae_ms,150,-0.014334193734200085,-26.127367831906398,106,44,0
2,fading,clockwise,log_spectral_distance_db,150,-0.18754859272250407,-2.070724694542299,104,46,0
2,fading,clockwise,joint_event_error,150,-2.4565074458519597e-05,-0.03796707810577613,107,43,0
2,fading_lw,clockwise_lw,pitch_mae_cents,150,-0.04209313493503414,-20.052774611628603,91,59,0
2,fading_lw,clockwise_lw,onset_mae_ms,150,-0.012522505234813242,-14.492543713099574,98,52,0
2,fading_lw,clockwise_lw,log_spectral_distance_db,150,-0.16280040726388012,-1.2541382840517181,93,57,0
2,fading_lw,clockwise_lw,joint_event_error,150,-3.383292562474284e-05,-0.019326301984450376,93,57,0
2,fading_lw,fading,pitch_mae_cents,150,-9.898692422137387e-06,12.210660727910815,76,74,0
2,fading_lw,fading,onset_mae_ms,150,-3.099111425819423e-06,7.808829783961307,76,74,0
2,fading_lw,fading,log_spectral_distance_db,150,0.0002901534232781299,0.45419259093048653,71,79,0
2,fading_lw,fading,joint_event_error,150,-3.6904146625692966e-09,0.010062871018859302,76,74,0
4,clockwise,orthogonal,pitch_mae_cents,150,-188.99165983083762,-185.22584780559026,113,37,0
4,clockwise,orthogonal,onset_mae_ms,150,-25.1036714534568,-47.070840459960856,105,45,0
4,clockwise,orthogonal,log_spectral_distance_db,150,-3.612875325156452,-4.174346941217185,92,58,0
4,clockwise,orthogonal,joint_event_error,150,-0.13334905447625253,-0.11940238267213123,113,37,0
4,clockwise_lw,orthogonal_lw,pitch_mae_cents,150,-192.07864004657188,-204.57524743890673,115,35,0
4,clockwise_lw,orthogonal_lw,onset_mae_ms,150,-42.25462180444662,-49.11449743661125,105,45,0
4,clockwise_lw,orthogonal_lw,log_spectral_distance_db,150,-4.8399693217406945,-5.307071161054176,102,48,0
4,clockwise_lw,orthogonal_lw,joint_event_error,150,-0.11356226361162822,-0.12655843431677505,121,29,0
4,fading,orthogonal,pitch_mae_cents,150,-245.6080849998649,-242.1021692712959,121,29,0
4,fading,orthogonal,onset_mae_ms,150,-18.00160030304115,-61.51433403366374,110,40,0
4,fading,orthogonal,log_spectral_distance_db,150,-7.703716692513769,-6.780309383497475,113,37,0
4,fading,orthogonal,joint_event_error,150,-0.16109789175144273,-0.1536782684988432,118,32,0
4,fading_lw,orthogonal_lw,pitch_mae_cents,150,-232.1165348207771,-237.28641334926456,126,24,0
4,fading_lw,orthogonal_lw,onset_mae_ms,150,-51.61966133908399,-68.01420676960673,115,35,0
4,fading_lw,orthogonal_lw,log_spectral_distance_db,150,-8.79306190758158,-7.57440953486949,118,32,0
4,fading_lw,orthogonal_lw,joint_event_error,150,-0.15146561641566353,-0.15613691577482675,124,26,0
4,fading,clockwise,pitch_mae_cents,150,-0.8870406420784196,-56.876321465705686,104,46,0
4,fading,clockwise,onset_mae_ms,150,-0.1386278103774211,-14.443493573702877,98,52,0
4,fading,clockwise,log_spectral_distance_db,150,-0.8244307183395085,-2.605962442280289,98,52,0
4,fading,clockwise,joint_event_error,150,-0.00046603331956100735,-0.034275885826711955,104,46,0
4,fading_lw,clockwise_lw,pitch_mae_cents,150,-0.6648053804154787,-32.711165910357856,94,56,0
4,fading_lw,clockwise_lw,onset_mae_ms,150,-0.39648772550220784,-18.899709332995464,101,49,0
4,fading_lw,clockwise_lw,log_spectral_distance_db,150,-0.8203324129157477,-2.267338373815313,90,60,0
4,fading_lw,clockwise_lw,joint_event_error,150,-0.0006205839589353895,-0.029578481458051725,97,53,0
4,fading_lw,fading,pitch_mae_cents,150,6.941812747764756e-05,-3.1363110135580956,69,81,0
4,fading_lw,fading,onset_mae_ms,150,7.789229539145737e-06,6.009170509133591,74,76,0
4,fading_lw,fading,log_spectral_distance_db,150,0.0018514640880547006,0.8001649825223354,67,83,0
4,fading_lw,fading,joint_event_error,150,1.177625636536235e-07,0.005314550484132849,65,84,1
6,clockwise,orthogonal,pitch_mae_cents,150,-91.66591188785164,-93.23242625977842,97,53,0
6,clockwise,orthogonal,onset_mae_ms,150,-35.548828938394934,-32.99124083272781,101,49,0
6,clockwise,orthogonal,log_spectral_distance_db,150,-1.837870662593179,-1.9774340173550482,91,59,0
