profile,perturbation,metric,variant,directions,mean_percent,delta_pp
structured,isolated_pitch,pitch_directed,cel8_001,↗,96.78028785146597,-0.4032258064516153
structured,isolated_pitch,pitch_directed,cel8_001_lw,↗ + LW,99.2180925666199,2.0345789087023225
structured,isolated_pitch,pitch_directed,cel8_002,↘,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_002_lw,↘ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_003,↗ ↘,97.2641588192079,0.0806451612903214
structured,isolated_pitch,pitch_directed,cel8_003_lw,↗ ↘ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_004,↖,96.45233086221867,-0.7311827956989231
structured,isolated_pitch,pitch_directed,cel8_004_lw,↖ + LW,98.7868162692847,1.6033026113671245
structured,isolated_pitch,pitch_directed,cel8_005,↗ ↖,96.69964269017565,-0.48387096774193394
structured,isolated_pitch,pitch_directed,cel8_005_lw,↗ ↖ + LW,98.94810659186535,1.7645929339477702
structured,isolated_pitch,pitch_directed,cel8_006,↘ ↖,97.10286849662725,-0.08064516129032417
structured,isolated_pitch,pitch_directed,cel8_006_lw,↘ ↖ + LW,99.2180925666199,2.0345789087023225
structured,isolated_pitch,pitch_directed,cel8_007,↗ ↘ ↖,97.10286849662725,-0.08064516129031862
structured,isolated_pitch,pitch_directed,cel8_007_lw,↗ ↘ ↖ + LW,99.1374474053296,1.953933747412004
structured,isolated_pitch,pitch_directed,cel8_008,↙,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_008_lw,↙ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_009,↗ ↙,97.35344453349362,0.16993087557603814
structured,isolated_pitch,pitch_directed,cel8_009_lw,↗ ↙ + LW,99.29873772791025,2.1152240699926494
structured,isolated_pitch,pitch_directed,cel8_010,↘ ↙,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_010_lw,↘ ↙ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_011,↗ ↘ ↙,97.53201596206505,0.3485023041474661
structured,isolated_pitch,pitch_directed,cel8_011_lw,↗ ↘ ↙ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_012,↖ ↙,97.02222333533695,-0.16129032258064557
structured,isolated_pitch,pitch_directed,cel8_012_lw,↖ ↙ + LW,99.109396914446,1.925883256528413
structured,isolated_pitch,pitch_directed,cel8_013,↗ ↖ ↙,97.10286849662725,-0.08064516129031862
structured,isolated_pitch,pitch_directed,cel8_013_lw,↗ ↖ ↙ + LW,99.109396914446,1.925883256528413
structured,isolated_pitch,pitch_directed,cel8_014,↘ ↖ ↙,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_014_lw,↘ ↖ ↙ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_015,↗ ↘ ↖ ↙,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_015_lw,↗ ↘ ↖ ↙ + LW,99.37938288920056,2.1958692312829737
structured,isolated_pitch,pitch_directed,cel8_016,↑,98.05044914178855,0.8669354838709703
structured,isolated_pitch,pitch_directed,cel8_016_lw,↑ + LW,100.0,2.816486342082411
structured,isolated_pitch,pitch_directed,cel8_017,↗ ↑,97.10286849662725,-0.08064516129031862
structured,isolated_pitch,pitch_directed,cel8_017_lw,↗ ↑ + LW,99.46002805049088,2.2765143925732922
structured,isolated_pitch,pitch_directed,cel8_018,↘ ↑,98.86478995525279,1.6812762973351991
structured,isolated_pitch,pitch_directed,cel8_018_lw,↘ ↑ + LW,99.62131837307153,2.4378047151539377
structured,isolated_pitch,pitch_directed,cel8_019,↗ ↘ ↑,97.2641588192079,0.0806451612903214
structured,isolated_pitch,pitch_directed,cel8_019_lw,↗ ↘ ↑ + LW,99.54067321178121,2.357159553863614
structured,isolated_pitch,pitch_directed,cel8_020,↖ ↑,96.69426634608965,-0.48924731182795334
structured,isolated_pitch,pitch_directed,cel8_020_lw,↖ ↑ + LW,99.02875175315567,1.8452380952380942
structured,isolated_pitch,pitch_directed,cel8_021,↗ ↖ ↑,96.78028785146597,-0.4032258064516153
structured,isolated_pitch,pitch_directed,cel8_021_lw,↗ ↖ ↑ + LW,98.94810659186535,1.7645929339477702
structured,isolated_pitch,pitch_directed,cel8_022,↘ ↖ ↑,97.18351365791759,0.0
structured,isolated_pitch,pitch_directed,cel8_022_lw,↘ ↖ ↑ + LW,99.29873772791025,2.1152240699926494
