target_id,events,mode,variant,previously_explored,pitch_mae_cents,onset_mae_ms,joint_event_error,log_spectral_distance_db,canonical_loss,updates,stopped_by,wall_seconds,recovered
C04-T0005,4,plateau,1000hz,True,3.2139896184301646,64.44994218358514,0.06319811587760148,11.356882712627675,0.008187417945385852,923,patience,54.705930799245834,False
C04-T0005,4,plateau,2oct,True,3.547598723542687,65.32191099190594,0.06279680033487062,11.38882291657349,0.008547830636333228,555,patience,29.030743047595024,False
C04-T0005,4,plateau,4oct,True,7.618643504015468,65.95644922510013,0.06388649224244723,11.400627010027979,0.008258183547141165,300,patience,17.45484049618244,False
C04-T0005,4,fresh,1000hz,True,4.265065558504787,64.49994589482777,0.06367801421759144,11.364321305066678,0.008108379265590982,458,patience,27.064915183000267,False
C04-T0005,4,fresh,2oct,True,9.121725252507124,64.02066111403897,0.06178265898321488,11.9698823691366,0.00855530928178307,592,patience,33.722615079022944,False
C04-T0005,4,fresh,4oct,True,81.01905968217832,188.4607352881276,0.22430583069518537,12.27532399629571,0.02228106199272113,1201,patience,71.16834774054587,False
C04-T0003,4,plateau,1000hz,False,130.89096496587703,86.63783328894378,0.13034203708422598,13.13976711408197,0.024809748415362876,272,patience,15.610221778973937,False
C04-T0003,4,plateau,2oct,False,28.47984439347282,88.94215884817521,0.07990623138702166,14.621801720851629,0.02296568523967909,873,patience,40.862152175977826,False
C04-T0003,4,plateau,4oct,False,212.69943851793937,78.4227211322279,0.17751220890400846,9.376423779000726,0.03434130826877762,866,patience,41.2543159481138,False
C04-T0003,4,fresh,1000hz,False,194.13825864727494,80.2618232967468,0.17234601696791182,10.035804749722002,0.03319052620283993,624,patience,29.132921459153295,False
C04-T0003,4,fresh,2oct,False,175.97542644239377,363.56696873240776,0.31284640656261975,17.81061933134947,0.049502344382687954,1811,patience,92.49485385231674,False
C04-T0003,4,fresh,4oct,False,0.0002937660170867405,0.00014124828818379287,1.7332971079364474e-07,0.009441438970157073,3.03637257520777e-07,2278,patience,114.75502106547356,True
C04-T0007,4,plateau,1000hz,False,475.48319607392114,143.75553680772344,0.39410461486434634,10.500455699204146,0.012822284719497132,481,patience,26.636164097115397,False
C04-T0007,4,plateau,2oct,False,476.3015570412298,147.02119189024168,0.3868432235204023,13.910998458044867,0.013666815637349821,895,patience,49.711355747655034,False
C04-T0007,4,plateau,4oct,False,482.4296837765633,145.81063818930667,0.38473045271126305,13.569871715919634,0.013828321230771792,981,patience,64.37155933119357,False
C04-T0007,4,fresh,1000hz,False,203.03854919692913,7.765647351924171,0.16034548746704524,7.80790746647784,0.005922316414687608,700,patience,40.6512593049556,False
C04-T0007,4,fresh,2oct,False,268.41941087136576,4.440608177552652,0.219673990858292,5.487101757030481,0.009375146632667248,642,patience,37.288262468762696,False
C04-T0007,4,fresh,4oct,False,214.77194607537288,7.985699377951988,0.17615232744973622,5.774061017852429,0.006737369212741412,767,patience,48.68082404322922,False
C06-T0000,6,plateau,1000hz,False,184.28863696482256,119.55165361044446,0.20973360463608276,13.164944337052084,0.007873201698644134,273,patience,18.40899579040706,False
C06-T0000,6,plateau,2oct,False,204.57941803751632,111.73257313577297,0.2231440712743516,16.20486078552469,0.009341828755562198,502,patience,34.14092651195824,False
C06-T0000,6,plateau,4oct,False,220.6826179465164,118.13910981848302,0.2317793917857074,14.904913561039715,0.008078633694033272,814,patience,55.61023283936083,False
C06-T0000,6,fresh,1000hz,False,71.74460259886146,1.3083639781901006,0.04855612697685383,7.114935507128732,0.0018878606773453093,722,patience,47.535187140107155,False
