metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
event-cosine,1,joint,waveform_l1,0.04146535488981133,0.6624866286368283,1024,1,1024
event-cosine,1,joint,waveform_mse,-0.01257216139857644,0.6456182450621207,1024,1,1024
event-cosine,1,joint,single_stft,0.12162133500749572,0.6993309512309944,1024,1,1024
event-cosine,1,joint,linear_mss,0.09960075827752479,0.6911875695147376,1024,1,1024
event-cosine,1,joint,smooth_mss,0.11892468269271454,0.6655413138462924,1024,1,1024
event-cosine,1,joint,sot_published_composite,0.019781879911625153,0.6609462857073114,1024,1,1024
event-cosine,1,joint,linear_jtfot,0.26180753905228077,0.5963287266474994,1024,1,1024
event-cosine,1,joint,log_jtfot,0.30771115832609996,0.635176431790525,1024,1,1024
event-cosine,1,joint,bidirectional_cumulative_energy,0.8443148526469668,0.20978792580326247,1024,1,1024
event-cosine,1,joint,log_quadrature_bicul,0.8484806403050696,0.20690236549243035,1024,1,1024
event-cosine,1,joint,fading,0.7546691974727201,0.2644893140535459,1024,1,1024
event-cosine,2,joint,waveform_l1,0.022609009231462935,0.4680315712986343,16384,32,512
event-cosine,2,joint,waveform_mse,0.023072275613308574,0.46039806203530115,16384,32,512
event-cosine,2,joint,single_stft,0.11054273144569467,0.48114101311168433,16384,32,512
event-cosine,2,joint,linear_mss,0.10086284653778443,0.4748801146412731,16384,32,512
event-cosine,2,joint,smooth_mss,0.10133934332615951,0.46592886536815387,16384,32,512
event-cosine,2,joint,sot_published_composite,0.0068461390914811154,0.4667835397230765,16384,32,512
event-cosine,2,joint,linear_jtfot,0.17890574458309938,0.4512694408277783,16384,32,512
event-cosine,2,joint,log_jtfot,0.16624378646830001,0.45826002709700214,16384,32,512
event-cosine,2,joint,bidirectional_cumulative_energy,0.5093807743893941,0.39117702382340824,16384,32,512
event-cosine,2,joint,log_quadrature_bicul,0.5152155081813303,0.3908147363822647,16384,32,512
event-cosine,2,joint,fading,0.4581077169701347,0.39824945096219677,16384,32,512
event-cosine,4,joint,waveform_l1,0.014156892302191262,0.34233042796581437,8192,32,256
event-cosine,4,joint,waveform_mse,0.03871365555775136,0.3384823342515269,8192,32,256
event-cosine,4,joint,single_stft,0.08118401042323967,0.3389677398138508,8192,32,256
event-cosine,4,joint,linear_mss,0.08162671163882752,0.33921407270211307,8192,32,256
event-cosine,4,joint,smooth_mss,0.07528531806773278,0.3408718948636416,8192,32,256
event-cosine,4,joint,sot_published_composite,0.002189886535843096,0.33703521504819056,8192,32,256
event-cosine,4,joint,linear_jtfot,0.12365269931242567,0.33206167667062714,8192,32,256
event-cosine,4,joint,log_jtfot,0.11425575661333273,0.3365212199790249,8192,32,256
