metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
phrase-cosine,1,joint,waveform_l1,0.04146535488981133,0.6624866286368283,1024,1,1024
phrase-cosine,1,joint,waveform_mse,-0.01257216139857644,0.6456182450621207,1024,1,1024
phrase-cosine,1,joint,single_stft,0.12162133500749572,0.6993309512309944,1024,1,1024
phrase-cosine,1,joint,linear_mss,0.09960075827752479,0.6911875695147376,1024,1,1024
phrase-cosine,1,joint,smooth_mss,0.11892468269271454,0.6655413138462924,1024,1,1024
phrase-cosine,1,joint,sot_published_composite,0.019781879911625153,0.6609462857073114,1024,1,1024
phrase-cosine,1,joint,linear_jtfot,0.26180753905228077,0.5963287266474994,1024,1,1024
phrase-cosine,1,joint,log_jtfot,0.30771115832609996,0.635176431790525,1024,1,1024
phrase-cosine,1,joint,bidirectional_cumulative_energy,0.8443148526469668,0.20978792580326247,1024,1,1024
phrase-cosine,1,joint,log_quadrature_bicul,0.8484806403050696,0.20690236549243035,1024,1,1024
phrase-cosine,1,joint,fading,0.7546691974727201,0.2644893140535459,1024,1,1024
phrase-cosine,2,joint,waveform_l1,0.014319719058502291,0.44218178622971266,16384,32,512
phrase-cosine,2,joint,waveform_mse,0.01600658061854165,0.41092652941836827,16384,32,512
phrase-cosine,2,joint,single_stft,0.07561803182373625,0.45716027742180826,16384,32,512
phrase-cosine,2,joint,linear_mss,0.07631439182635744,0.4660189910647301,16384,32,512
phrase-cosine,2,joint,smooth_mss,0.06795487121647319,0.45349793947950434,16384,32,512
phrase-cosine,2,joint,sot_published_composite,0.0032311008101398348,0.4394317532799409,16384,32,512
phrase-cosine,2,joint,linear_jtfot,0.16994273014172917,0.4412846242922181,16384,32,512
phrase-cosine,2,joint,log_jtfot,0.15312517933474787,0.4483595472203705,16384,32,512
phrase-cosine,2,joint,bidirectional_cumulative_energy,0.441631184918828,0.40413457370458056,16384,32,512
phrase-cosine,2,joint,log_quadrature_bicul,0.44962244010610064,0.4002203217662014,16384,32,512
phrase-cosine,2,joint,fading,0.40237341840839924,0.4020805203640867,16384,32,512
phrase-cosine,4,joint,waveform_l1,0.005237388738465143,0.31362878263624877,8192,32,256
phrase-cosine,4,joint,waveform_mse,0.007036752260155455,0.2883430819096706,8192,32,256
phrase-cosine,4,joint,single_stft,0.03508054868329276,0.3168729205429688,8192,32,256
phrase-cosine,4,joint,linear_mss,0.044717990975414595,0.3268227494676291,8192,32,256
phrase-cosine,4,joint,smooth_mss,0.036612181458936716,0.3323503855631242,8192,32,256
phrase-cosine,4,joint,sot_published_composite,-0.0019101105205111858,0.328845776509241,8192,32,256
phrase-cosine,4,joint,linear_jtfot,0.10614401309245355,0.32743952785686087,8192,32,256
phrase-cosine,4,joint,log_jtfot,0.07973066416620321,0.3261193762247095,8192,32,256
phrase-cosine,4,joint,bidirectional_cumulative_energy,0.2547866844001465,0.32455810285008313,8192,32,256
phrase-cosine,4,joint,log_quadrature_bicul,0.2644120817362734,0.3232731573994322,8192,32,256
phrase-cosine,4,joint,fading,0.2633544798314904,0.32257616373282566,8192,32,256
phrase-cosine,6,joint,waveform_l1,0.0066013491079976346,0.24779543173925891,8192,32,256
phrase-cosine,6,joint,waveform_mse,0.0015728032468383503,0.24598708682872963,8192,32,256
phrase-cosine,6,joint,single_stft,0.014361703507293645,0.2574961141986141,8192,32,256
phrase-cosine,6,joint,linear_mss,0.021274534397343996,0.2569811431917795,8192,32,256
phrase-cosine,6,joint,smooth_mss,0.018715732523905876,0.2629725272474991,8192,32,256
phrase-cosine,6,joint,sot_published_composite,-0.0046407275422772785,0.26160667800702075,8192,32,256
phrase-cosine,6,joint,linear_jtfot,0.05259576286643393,0.26032257856871976,8192,32,256
phrase-cosine,6,joint,log_jtfot,0.033818208838517445,0.2604553087013161,8192,32,256
phrase-cosine,6,joint,bidirectional_cumulative_energy,0.13957927000997292,0.2730209648909142,8192,32,256
phrase-cosine,6,joint,log_quadrature_bicul,0.14617597216417852,0.27447761023074224,8192,32,256
phrase-cosine,6,joint,fading,0.16175869259293763,0.27301760028454863,8192,32,256
phrase-cosine,8,joint,waveform_l1,0.004702214009717552,0.21858867560617357,8192,32,256
phrase-cosine,8,joint,waveform_mse,0.0052712767562057335,0.21357958565491061,8192,32,256
phrase-cosine,8,joint,single_stft,0.009050011341102818,0.2253775365179956,8192,32,256
phrase-cosine,8,joint,linear_mss,0.01766702978533314,0.2305693183762321,8192,32,256
phrase-cosine,8,joint,smooth_mss,0.014817644017262403,0.23349568614114435,8192,32,256
phrase-cosine,8,joint,sot_published_composite,0.004777496339748501,0.2314122706107682,8192,32,256
phrase-cosine,8,joint,linear_jtfot,0.03856921526401858,0.22881355553892713,8192,32,256
phrase-cosine,8,joint,log_jtfot,0.027239203658153285,0.23093966748403214,8192,32,256
phrase-cosine,8,joint,bidirectional_cumulative_energy,0.10388218667619012,0.24963904862940844,8192,32,256
phrase-cosine,8,joint,log_quadrature_bicul,0.11049865293561316,0.2524491177107846,8192,32,256
phrase-cosine,8,joint,fading,0.1211320483947937,0.2526327239453505,8192,32,256
phrase-cosine,1,pitch,waveform_l1,0.05595051837070397,0.2108870341748152,512,1,512
phrase-cosine,1,pitch,waveform_mse,0.046598768378182776,0.16080223945603045,512,1,512
phrase-cosine,1,pitch,single_stft,0.20742552896889416,0.6964206036520826,512,1,512
phrase-cosine,1,pitch,linear_mss,0.14550792853313688,0.44414934012069374,512,1,512
phrase-cosine,1,pitch,smooth_mss,0.2574938719420536,0.3356691474943676,512,1,512
phrase-cosine,1,pitch,sot_published_composite,0.10451778120717883,0.2005090923412525,512,1,512
phrase-cosine,1,pitch,linear_jtfot,0.0719960000593606,0.14975362323628136,512,1,512
phrase-cosine,1,pitch,log_jtfot,0.24882370310465562,0.2713353731788541,512,1,512
phrase-cosine,1,pitch,bidirectional_cumulative_energy,0.9217583125217691,0.07933970149331465,512,1,512
phrase-cosine,1,pitch,log_quadrature_bicul,0.9317047350130726,0.07181039664487728,512,1,512
phrase-cosine,1,pitch,fading,0.7753647045932707,0.20135114974614082,512,1,512
