metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
phrase-descent,1,joint,waveform_l1,0.548828125,0.4978532543864967,1024,1,1024
phrase-descent,1,joint,waveform_mse,0.49609375,0.5002290531065219,1024,1,1024
phrase-descent,1,joint,single_stft,0.57421875,0.4947025084305792,1024,1,1024
phrase-descent,1,joint,linear_mss,0.5791015625,0.4939445370750203,1024,1,1024
phrase-descent,1,joint,smooth_mss,0.583984375,0.4931370085863934,1024,1,1024
phrase-descent,1,joint,sot_published_composite,0.5068359375,0.5001975645239773,1024,1,1024
phrase-descent,1,joint,linear_jtfot,0.6591796875,0.47421665709522365,1024,1,1024
phrase-descent,1,joint,log_jtfot,0.681640625,0.4660673890059453,1024,1,1024
phrase-descent,1,joint,bidirectional_cumulative_energy,0.9814453125,0.13501189599482447,1024,1,1024
phrase-descent,1,joint,log_quadrature_bicul,0.9814453125,0.13501189599482447,1024,1,1024
phrase-descent,1,joint,fading,0.978515625,0.14506325094314393,1024,1,1024
phrase-descent,2,pitch,waveform_l1,0.62811279296875,0.48332325639666357,16384,32,512
phrase-descent,2,pitch,waveform_mse,0.599853515625,0.4899427788383975,16384,32,512
phrase-descent,2,pitch,single_stft,0.68267822265625,0.46544805267477923,16384,32,512
phrase-descent,2,pitch,linear_mss,0.71441650390625,0.45170567446605053,16384,32,512
phrase-descent,2,pitch,smooth_mss,0.81024169921875,0.39212175762039764,16384,32,512
phrase-descent,2,pitch,sot_published_composite,0.77362060546875,0.41850024385891016,16384,32,512
phrase-descent,2,pitch,linear_jtfot,0.7724609375,0.4192562057238583,16384,32,512
phrase-descent,2,pitch,log_jtfot,0.79974365234375,0.4002043459096933,16384,32,512
phrase-descent,2,pitch,bidirectional_cumulative_energy,0.9423828125,0.23302523781781675,16384,32,512
phrase-descent,2,pitch,log_quadrature_bicul,0.94708251953125,0.22387559006890434,16384,32,512
phrase-descent,2,pitch,fading,0.93804931640625,0.24107331568658832,16384,32,512
phrase-descent,4,pitch,waveform_l1,0.5428466796875,0.4981911874119753,8192,32,256
phrase-descent,4,pitch,waveform_mse,0.5228271484375,0.4995091380366093,8192,32,256
phrase-descent,4,pitch,single_stft,0.5872802734375,0.4923532727078788,8192,32,256
phrase-descent,4,pitch,linear_mss,0.60107421875,0.4897073374839989,8192,32,256
phrase-descent,4,pitch,smooth_mss,0.65673828125,0.47482695083656745,8192,32,256
phrase-descent,4,pitch,sot_published_composite,0.62353515625,0.48452835143017287,8192,32,256
phrase-descent,4,pitch,linear_jtfot,0.6522216796875,0.4762942920577249,8192,32,256
phrase-descent,4,pitch,log_jtfot,0.663818359375,0.47243072518749046,8192,32,256
phrase-descent,4,pitch,bidirectional_cumulative_energy,0.85546875,0.35164906175008565,8192,32,256
phrase-descent,4,pitch,log_quadrature_bicul,0.868408203125,0.3380670750110659,8192,32,256
phrase-descent,4,pitch,fading,0.8656005859375,0.3411017655973264,8192,32,256
phrase-descent,2,time,waveform_l1,0.505615234375,0.49999898659630543,8192,32,256
phrase-descent,2,time,waveform_mse,0.501953125,0.5000267054277064,8192,32,256
phrase-descent,2,time,single_stft,0.626220703125,0.48383562331192265,8192,32,256
phrase-descent,2,time,linear_mss,0.546875,0.4978282710184535,8192,32,256
phrase-descent,2,time,smooth_mss,0.525146484375,0.4993977357051089,8192,32,256
phrase-descent,2,time,sot_published_composite,0.5052490234375,0.5000029656843054,8192,32,256
phrase-descent,2,time,linear_jtfot,0.7132568359375,0.45226816268669734,8192,32,256
phrase-descent,2,time,log_jtfot,0.630126953125,0.48279957549939806,8192,32,256
phrase-descent,2,time,bidirectional_cumulative_energy,0.8438720703125,0.3629987386069194,8192,32,256
phrase-descent,2,time,log_quadrature_bicul,0.8448486328125,0.36207101970005817,8192,32,256
phrase-descent,2,time,fading,0.8250732421875,0.37992763449619543,8192,32,256
phrase-descent,4,time,waveform_l1,0.5054931640625,0.5000003427684319,8192,32,256
phrase-descent,4,time,waveform_mse,0.503662109375,0.5000171083288104,8192,32,256
phrase-descent,4,time,single_stft,0.556396484375,0.49683958130792716,8192,32,256
phrase-descent,4,time,linear_mss,0.5479736328125,0.4977235888354583,8192,32,256
phrase-descent,4,time,smooth_mss,0.5296630859375,0.4991497923608866,8192,32,256
phrase-descent,4,time,sot_published_composite,0.499755859375,0.5000304607640903,8192,32,256
phrase-descent,4,time,linear_jtfot,0.6353759765625,0.4813539538219159,8192,32,256
phrase-descent,4,time,log_jtfot,0.587646484375,0.4922882054583437,8192,32,256
phrase-descent,4,time,bidirectional_cumulative_energy,0.7657470703125,0.4235568368973537,8192,32,256
phrase-descent,4,time,log_quadrature_bicul,0.7694091796875,0.4212366960505499,8192,32,256
phrase-descent,4,time,fading,0.7645263671875,0.42432037371695774,8192,32,256
phrase-descent,2,joint,waveform_l1,0.5174560546875,0.499710443432791,16384,32,512
phrase-descent,2,joint,waveform_mse,0.52520751953125,0.49937941677071135,16384,32,512
phrase-descent,2,joint,single_stft,0.5762939453125,0.4941600331229165,16384,32,512
phrase-descent,2,joint,linear_mss,0.58038330078125,0.49351128687674584,16384,32,512
phrase-descent,2,joint,smooth_mss,0.57452392578125,0.494430081212606,16384,32,512
phrase-descent,2,joint,sot_published_composite,0.50250244140625,0.5000089970442649,16384,32,512
phrase-descent,2,joint,linear_jtfot,0.6591796875,0.47399951497243503,16384,32,512
phrase-descent,2,joint,log_jtfot,0.6357421875,0.4812361099858302,16384,32,512
phrase-descent,2,joint,bidirectional_cumulative_energy,0.8599853515625,0.3470128187625703,16384,32,512
phrase-descent,2,joint,log_quadrature_bicul,0.86492919921875,0.34180961151998446,16384,32,512
phrase-descent,2,joint,fading,0.85052490234375,0.3565670383671153,16384,32,512
phrase-descent,4,joint,waveform_l1,0.505126953125,0.5000042324285217,8192,32,256
phrase-descent,4,joint,waveform_mse,0.5137939453125,0.4998401996109102,8192,32,256
phrase-descent,4,joint,single_stft,0.5458984375,0.497919268100851,8192,32,256
phrase-descent,4,joint,linear_mss,0.5625,0.4961086518178222,8192,32,256
phrase-descent,4,joint,smooth_mss,0.554443359375,0.49705742128406544,8192,32,256
phrase-descent,4,joint,sot_published_composite,0.4959716796875,0.5000142917539544,8192,32,256
phrase-descent,4,joint,linear_jtfot,0.63525390625,0.481388272361874,8192,32,256
phrase-descent,4,joint,log_jtfot,0.598876953125,0.4901557669353057,8192,32,256
phrase-descent,4,joint,bidirectional_cumulative_energy,0.7913818359375,0.40634564294798803,8192,32,256
phrase-descent,4,joint,log_quadrature_bicul,0.799072265625,0.4007185813272443,8192,32,256
phrase-descent,4,joint,fading,0.8026123046875,0.3980516731516174,8192,32,256
