metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
event-cosine,1,joint,waveform_l1,0.04146535488981133,0.6624866286368283,1024,1,1024
event-cosine,1,joint,waveform_mse,-0.01257216139857644,0.6456182450621207,1024,1,1024
event-cosine,1,joint,single_stft,0.12162133500749572,0.6993309512309944,1024,1,1024
event-cosine,1,joint,linear_mss,0.09960075827752479,0.6911875695147376,1024,1,1024
event-cosine,1,joint,smooth_mss,0.11892468269271454,0.6655413138462924,1024,1,1024
event-cosine,1,joint,sot_published_composite,0.019781879911625153,0.6609462857073114,1024,1,1024
event-cosine,1,joint,linear_jtfot,0.26180753905228077,0.5963287266474994,1024,1,1024
event-cosine,1,joint,log_jtfot,0.30771115832609996,0.635176431790525,1024,1,1024
event-cosine,1,joint,bidirectional_cumulative_energy,0.8443148526469668,0.20978792580326247,1024,1,1024
event-cosine,1,joint,log_quadrature_bicul,0.8484806403050696,0.20690236549243035,1024,1,1024
event-cosine,1,joint,fading,0.7546691974727201,0.2644893140535459,1024,1,1024
phrase-descent,1,joint,waveform_l1,0.548828125,0.4978532543864967,1024,1,1024
phrase-descent,1,joint,waveform_mse,0.49609375,0.5002290531065219,1024,1,1024
phrase-descent,1,joint,single_stft,0.57421875,0.4947025084305792,1024,1,1024
phrase-descent,1,joint,linear_mss,0.5791015625,0.4939445370750203,1024,1,1024
phrase-descent,1,joint,smooth_mss,0.583984375,0.4931370085863934,1024,1,1024
phrase-descent,1,joint,sot_published_composite,0.5068359375,0.5001975645239773,1024,1,1024
phrase-descent,1,joint,linear_jtfot,0.6591796875,0.47421665709522365,1024,1,1024
phrase-descent,1,joint,log_jtfot,0.681640625,0.4660673890059453,1024,1,1024
phrase-descent,1,joint,bidirectional_cumulative_energy,0.9814453125,0.13501189599482447,1024,1,1024
phrase-descent,1,joint,log_quadrature_bicul,0.9814453125,0.13501189599482447,1024,1,1024
phrase-descent,1,joint,fading,0.978515625,0.14506325094314393,1024,1,1024
phrase-cosine,1,joint,waveform_l1,0.04146535488981133,0.6624866286368283,1024,1,1024
phrase-cosine,1,joint,waveform_mse,-0.01257216139857644,0.6456182450621207,1024,1,1024
phrase-cosine,1,joint,single_stft,0.12162133500749572,0.6993309512309944,1024,1,1024
phrase-cosine,1,joint,linear_mss,0.09960075827752479,0.6911875695147376,1024,1,1024
phrase-cosine,1,joint,smooth_mss,0.11892468269271454,0.6655413138462924,1024,1,1024
phrase-cosine,1,joint,sot_published_composite,0.019781879911625153,0.6609462857073114,1024,1,1024
phrase-cosine,1,joint,linear_jtfot,0.26180753905228077,0.5963287266474994,1024,1,1024
phrase-cosine,1,joint,log_jtfot,0.30771115832609996,0.635176431790525,1024,1,1024
