events,condition,loss,mean_phrase_cosine,candidate_sd,eligible,targets,candidates_per_target
1,joint,orthogonal,0.3165008187707451,0.5573983752618135,1024,1,1024
1,joint,time_directions,0.773518806307745,0.17408494709048825,1024,1,1024
1,joint,frequency_directions,0.8171295121634776,0.23143930326382822,1024,1,1024
2,joint,orthogonal,0.20560454269322426,0.4328445292731748,16384,32,512
2,joint,time_directions,0.4486676162470024,0.33817914086660134,16384,32,512
2,joint,frequency_directions,0.4115537684100212,0.41693564231563396,16384,32,512
4,joint,orthogonal,0.11451141590834851,0.31790016012283046,8192,32,256
4,joint,time_directions,0.27477933480772054,0.303560421533602,8192,32,256
4,joint,frequency_directions,0.2329690178001544,0.33292507638105107,8192,32,256
6,joint,orthogonal,0.0683571225231627,0.2615649141108429,8192,32,256
6,joint,time_directions,0.16405602928627927,0.26474276172728806,8192,32,256
6,joint,frequency_directions,0.12952892534395286,0.27124052337630883,8192,32,256
8,joint,orthogonal,0.0512078604515013,0.2291734864208054,8192,32,256
8,joint,time_directions,0.13259580568159893,0.2456565866879306,8192,32,256
8,joint,frequency_directions,0.0883773321406775,0.24578920244443248,8192,32,256
1,pitch,orthogonal,0.5116396884541756,0.3826473976798399,512,1,512
1,pitch,time_directions,0.90333774962554,0.1405669912899565,512,1,512
1,pitch,frequency_directions,0.9068690700391376,0.10992900307678179,512,1,512
2,pitch,orthogonal,0.29451222586405845,0.34093477273032186,16384,32,512
2,pitch,time_directions,0.43050402838232293,0.2761659251338949,16384,32,512
2,pitch,frequency_directions,0.4388726392110853,0.3077334463431956,16384,32,512
4,pitch,orthogonal,0.12234439463765931,0.2783819635986316,8192,32,256
4,pitch,time_directions,0.21446571541806791,0.22748743316273484,8192,32,256
4,pitch,frequency_directions,0.21171210538798607,0.24489080874671063,8192,32,256
1,time,orthogonal,0.9296255282245391,0.1762134045317161,1024,1,1024
1,time,time_directions,0.9792894581983471,0.03634459715287473,1024,1,1024
1,time,frequency_directions,0.974924612392532,0.11664860156907526,1024,1,1024
2,time,orthogonal,0.3721272342889652,0.5364064808490309,8192,32,256
2,time,time_directions,0.5581927789154023,0.4298084760898208,8192,32,256
2,time,frequency_directions,0.4857905898305745,0.5589103225042282,8192,32,256
4,time,orthogonal,0.18431078367486847,0.4105475938430695,8192,32,256
4,time,time_directions,0.3350063016655811,0.3693970981574982,8192,32,256
4,time,frequency_directions,0.25715759192595306,0.43056893197798213,8192,32,256
