events,condition,target,candidates,ties,reassigned_candidates,both_displaced_events,wall_seconds,peak_rss_kib
1,joint,C01-T000,1024,0,0,1024,5.319959740154445,1491240
2,pitch,C02-T000,512,0,232,464,5.048465210944414,1491240
2,pitch,C02-T001,512,0,227,454,5.000526584684849,1491240
2,pitch,C02-T002,512,0,75,150,4.967998994514346,1491240
2,pitch,C02-T003,512,0,0,0,4.9702183632180095,1491240
2,pitch,C02-T004,512,0,124,248,4.964155186899006,1491240
2,pitch,C02-T005,512,0,152,304,4.97226095572114,1491240
2,pitch,C02-T006,512,0,0,0,5.09712010063231,1491240
2,pitch,C02-T007,512,0,226,452,5.0040487963706255,1491240
2,pitch,C02-T008,512,0,238,476,5.015299625694752,1491240
2,pitch,C02-T009,512,0,139,278,5.065398963168263,1491240
2,pitch,C02-T010,512,0,249,498,4.960449827834964,1491240
2,pitch,C02-T011,512,0,4,8,4.963518174365163,1491240
2,pitch,C02-T012,512,0,0,0,4.96741995960474,1491240
2,pitch,C02-T013,512,0,0,0,4.970912867225707,1491240
2,pitch,C02-T014,512,0,0,0,5.101753312163055,1491240
2,pitch,C02-T015,512,0,131,262,4.986806372180581,1491240
2,pitch,C02-T016,512,0,111,222,4.991021111607552,1491240
2,pitch,C02-T017,512,0,189,378,5.000621708109975,1491240
2,pitch,C02-T018,512,0,219,438,5.004667861387134,1491240
2,pitch,C02-T019,512,0,89,178,4.94103357475251,1491240
2,pitch,C02-T020,512,0,148,296,4.973244368098676,1491240
2,pitch,C02-T021,512,0,83,166,4.956500303000212,1491240
2,pitch,C02-T022,512,0,92,184,4.97073442582041,1491240
2,pitch,C02-T023,512,0,240,480,4.965963272377849,1491240
2,pitch,C02-T024,512,0,189,378,4.986757567152381,1491240
2,pitch,C02-T025,512,0,246,492,4.995538373477757,1491240
2,pitch,C02-T026,512,0,246,492,4.980109601281583,1491240
2,pitch,C02-T027,512,0,87,174,4.949129621498287,1491240
2,pitch,C02-T028,512,0,0,0,4.982196595519781,1491240
2,pitch,C02-T029,512,0,250,500,5.02649009693414,1491240
2,pitch,C02-T030,512,0,0,0,4.953187963925302,1491240
2,pitch,C02-T031,512,0,237,474,4.979723367840052,1491240
4,pitch,C04-T000,256,0,179,415,3.630474189296365,1485756
4,pitch,C04-T001,256,0,198,505,3.707398441620171,1486524
4,pitch,C04-T002,256,0,199,522,3.683278515934944,1486524
4,pitch,C04-T003,256,0,187,436,3.72299896646291,1486524
4,pitch,C04-T004,256,0,217,575,3.7403626730665565,1486524
