events,condition,target,candidates,loss,metric,mean,eligible
1,joint,C01-T000,1024,waveform_l1,both_directed,0.236328125,1024
1,joint,C01-T000,1024,waveform_mse,both_directed,0.16015625,1024
1,joint,C01-T000,1024,single_stft,both_directed,0.3349609375,1024
1,joint,C01-T000,1024,linear_mss,both_directed,0.287109375,1024
1,joint,C01-T000,1024,smooth_mss,both_directed,0.302734375,1024
1,joint,C01-T000,1024,sot_published_composite,both_directed,0.2490234375,1024
1,joint,C01-T000,1024,linear_jtfot,both_directed,0.41015625,1024
1,joint,C01-T000,1024,log_jtfot,both_directed,0.4794921875,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,both_directed,0.84375,1024
1,joint,C01-T000,1024,log_quadrature_bicul,both_directed,0.84375,1024
1,joint,C01-T000,1024,fading,both_directed,0.7392578125,1024
1,joint,C01-T000,1024,waveform_l1,pitch_directed,0.4873046875,1024
1,joint,C01-T000,1024,waveform_mse,pitch_directed,0.4326171875,1024
1,joint,C01-T000,1024,single_stft,pitch_directed,0.5341796875,1024
1,joint,C01-T000,1024,linear_mss,pitch_directed,0.4755859375,1024
1,joint,C01-T000,1024,smooth_mss,pitch_directed,0.57421875,1024
1,joint,C01-T000,1024,sot_published_composite,pitch_directed,0.4912109375,1024
1,joint,C01-T000,1024,linear_jtfot,pitch_directed,0.6708984375,1024
1,joint,C01-T000,1024,log_jtfot,pitch_directed,0.83203125,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,pitch_directed,0.9033203125,1024
1,joint,C01-T000,1024,log_quadrature_bicul,pitch_directed,0.9140625,1024
1,joint,C01-T000,1024,fading,pitch_directed,0.7900390625,1024
1,joint,C01-T000,1024,waveform_l1,time_directed,0.505859375,1024
1,joint,C01-T000,1024,waveform_mse,time_directed,0.458984375,1024
1,joint,C01-T000,1024,single_stft,time_directed,0.607421875,1024
1,joint,C01-T000,1024,linear_mss,time_directed,0.5888671875,1024
1,joint,C01-T000,1024,smooth_mss,time_directed,0.53125,1024
1,joint,C01-T000,1024,sot_published_composite,time_directed,0.4990234375,1024
1,joint,C01-T000,1024,linear_jtfot,time_directed,0.642578125,1024
1,joint,C01-T000,1024,log_jtfot,time_directed,0.568359375,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,time_directed,0.9404296875,1024
1,joint,C01-T000,1024,log_quadrature_bicul,time_directed,0.9296875,1024
1,joint,C01-T000,1024,fading,time_directed,0.94921875,1024
1,joint,C01-T000,1024,waveform_l1,dot_directed,0.548828125,1024
1,joint,C01-T000,1024,waveform_mse,dot_directed,0.49609375,1024
1,joint,C01-T000,1024,single_stft,dot_directed,0.57421875,1024
1,joint,C01-T000,1024,linear_mss,dot_directed,0.5791015625,1024
1,joint,C01-T000,1024,smooth_mss,dot_directed,0.583984375,1024
1,joint,C01-T000,1024,sot_published_composite,dot_directed,0.5068359375,1024
1,joint,C01-T000,1024,linear_jtfot,dot_directed,0.6591796875,1024
1,joint,C01-T000,1024,log_jtfot,dot_directed,0.681640625,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,dot_directed,0.9814453125,1024
1,joint,C01-T000,1024,log_quadrature_bicul,dot_directed,0.9814453125,1024
1,joint,C01-T000,1024,fading,dot_directed,0.978515625,1024
1,joint,C01-T000,1024,waveform_l1,cosine,0.04146535488981138,1024
1,joint,C01-T000,1024,waveform_mse,cosine,-0.012572161398576415,1024
1,joint,C01-T000,1024,single_stft,cosine,0.12162133500749582,1024
1,joint,C01-T000,1024,linear_mss,cosine,0.09960075827752468,1024
1,joint,C01-T000,1024,smooth_mss,cosine,0.11892468269271449,1024
1,joint,C01-T000,1024,sot_published_composite,cosine,0.019781879911625163,1024
1,joint,C01-T000,1024,linear_jtfot,cosine,0.2618075390522807,1024
1,joint,C01-T000,1024,log_jtfot,cosine,0.30771115832609996,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,cosine,0.8443148526469663,1024
1,joint,C01-T000,1024,log_quadrature_bicul,cosine,0.8484806403050706,1024
1,joint,C01-T000,1024,fading,cosine,0.7546691974727202,1024
1,joint,C01-T000,1024,waveform_l1,phrase_success,0.236328125,1024
1,joint,C01-T000,1024,waveform_mse,phrase_success,0.16015625,1024
1,joint,C01-T000,1024,single_stft,phrase_success,0.3349609375,1024
1,joint,C01-T000,1024,linear_mss,phrase_success,0.287109375,1024
1,joint,C01-T000,1024,smooth_mss,phrase_success,0.302734375,1024
1,joint,C01-T000,1024,sot_published_composite,phrase_success,0.2490234375,1024
1,joint,C01-T000,1024,linear_jtfot,phrase_success,0.41015625,1024
1,joint,C01-T000,1024,log_jtfot,phrase_success,0.4794921875,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,phrase_success,0.84375,1024
1,joint,C01-T000,1024,log_quadrature_bicul,phrase_success,0.84375,1024
1,joint,C01-T000,1024,fading,phrase_success,0.7392578125,1024
1,joint,C01-T000,1024,waveform_l1,zero_gradient,0.0,1024
1,joint,C01-T000,1024,waveform_mse,zero_gradient,0.0,1024
1,joint,C01-T000,1024,single_stft,zero_gradient,0.0,1024
1,joint,C01-T000,1024,linear_mss,zero_gradient,0.0,1024
1,joint,C01-T000,1024,smooth_mss,zero_gradient,0.0,1024
1,joint,C01-T000,1024,sot_published_composite,zero_gradient,0.0,1024
1,joint,C01-T000,1024,linear_jtfot,zero_gradient,0.0,1024
1,joint,C01-T000,1024,log_jtfot,zero_gradient,0.0,1024
1,joint,C01-T000,1024,bidirectional_cumulative_energy,zero_gradient,0.0,1024
1,joint,C01-T000,1024,log_quadrature_bicul,zero_gradient,0.0,1024
1,joint,C01-T000,1024,fading,zero_gradient,0.0,1024
1,joint,C01-T000,1024,waveform_l1,original_coordinate_drift,,0
1,joint,C01-T000,1024,waveform_mse,original_coordinate_drift,,0
1,joint,C01-T000,1024,single_stft,original_coordinate_drift,,0
1,joint,C01-T000,1024,linear_mss,original_coordinate_drift,,0
1,joint,C01-T000,1024,smooth_mss,original_coordinate_drift,,0
