events,condition,target,candidates,ties,reassigned_candidates,both_displaced_events,wall_seconds,peak_rss_kib
1,joint,C01-T000,256,0,0,256,1.370000220835209,1483704
2,pitch,C02-T000,256,0,135,270,2.5233448930084705,1485756
2,pitch,C02-T001,256,0,108,216,2.4890890968963504,1485756
2,pitch,C02-T002,256,0,48,96,2.5012284805998206,1485756
2,pitch,C02-T003,256,0,0,0,2.4777061538770795,1485756
2,pitch,C02-T004,256,0,68,136,2.483701951801777,1485756
2,pitch,C02-T005,256,0,76,152,2.48107289429754,1485756
2,pitch,C02-T006,256,0,0,0,2.4916025400161743,1485756
2,pitch,C02-T007,256,0,122,244,2.498999065719545,1485756
2,pitch,C02-T008,256,0,116,232,2.4962506098672748,1485756
2,pitch,C02-T009,256,0,75,150,2.494879512116313,1485756
2,pitch,C02-T010,256,0,126,252,2.472694198600948,1485756
2,pitch,C02-T011,256,0,1,2,2.4849246963858604,1485756
2,pitch,C02-T012,256,0,0,0,2.481123591773212,1485756
2,pitch,C02-T013,256,0,0,0,2.495193375274539,1485756
2,pitch,C02-T014,256,0,0,0,2.5102743534371257,1485756
2,pitch,C02-T015,256,0,65,130,2.5056525822728872,1485756
2,pitch,C02-T016,256,0,55,110,2.4953403463587165,1485756
2,pitch,C02-T017,256,0,96,192,2.5045926002785563,1485756
2,pitch,C02-T018,256,0,111,222,2.510334013029933,1485756
2,pitch,C02-T019,256,0,45,90,2.496297745965421,1485756
2,pitch,C02-T020,256,0,75,150,2.513062165118754,1485756
2,pitch,C02-T021,256,0,47,94,2.5052121700719,1485756
2,pitch,C02-T022,256,0,50,100,2.4934710143134,1485756
2,pitch,C02-T023,256,0,110,220,2.5042560203000903,1485756
2,pitch,C02-T024,256,0,88,176,2.5150724090635777,1485756
2,pitch,C02-T025,256,0,125,250,2.526802672073245,1485756
2,pitch,C02-T026,256,0,114,228,2.4990537855774164,1485756
2,pitch,C02-T027,256,0,41,82,2.5028091445565224,1485756
2,pitch,C02-T028,256,0,0,0,2.500741461291909,1485756
2,pitch,C02-T029,256,0,123,246,2.506356100551784,1485756
2,pitch,C02-T030,256,0,0,0,2.4717080276459455,1485756
2,pitch,C02-T031,256,0,124,248,2.476931631565094,1485756
4,pitch,C04-T000,256,0,179,415,3.630474189296365,1485756
4,pitch,C04-T001,256,0,198,505,3.707398441620171,1486524
4,pitch,C04-T002,256,0,199,522,3.683278515934944,1486524
4,pitch,C04-T003,256,0,187,436,3.72299896646291,1486524
4,pitch,C04-T004,256,0,217,575,3.7403626730665565,1486524
4,pitch,C04-T005,256,0,127,288,3.6424486078321934,1486524
4,pitch,C04-T006,256,0,240,734,3.765919890254736,1486524
4,pitch,C04-T007,256,0,239,719,3.7534280056133866,1486524
4,pitch,C04-T008,256,0,194,534,3.7203962625935674,1486524
4,pitch,C04-T009,256,0,205,535,3.713566256687045,1486524
4,pitch,C04-T010,256,0,213,555,3.631326286122203,1486524
4,pitch,C04-T011,256,0,146,358,3.6944700004532933,1486524
4,pitch,C04-T012,256,0,192,477,3.6910457452759147,1486524
4,pitch,C04-T013,256,0,207,533,3.7118660770356655,1486524
4,pitch,C04-T014,256,0,221,643,3.710756991058588,1486524
4,pitch,C04-T015,256,0,196,549,3.644756367430091,1486524
4,pitch,C04-T016,256,0,199,498,3.710181310772896,1486524
4,pitch,C04-T017,256,0,200,591,3.6789522916078568,1486524
4,pitch,C04-T018,256,0,181,472,3.687276115640998,1486524
4,pitch,C04-T019,256,0,219,616,3.692007436417043,1486524
4,pitch,C04-T020,256,0,218,588,3.7875594636425376,1489084
4,pitch,C04-T021,256,0,198,508,3.6150885615497828,1489084
4,pitch,C04-T022,256,0,175,424,3.6753183770924807,1489084
4,pitch,C04-T023,256,0,170,354,3.6812395583838224,1489084
4,pitch,C04-T024,256,0,182,445,3.609939900226891,1489084
4,pitch,C04-T025,256,0,198,482,3.640991603024304,1489084
4,pitch,C04-T026,256,0,179,499,3.7043349277228117,1489084
4,pitch,C04-T027,256,0,193,493,3.6806211825460196,1489084
4,pitch,C04-T028,256,0,178,411,3.6459161918610334,1489084
4,pitch,C04-T029,256,0,183,476,3.645948125049472,1489084
4,pitch,C04-T030,256,0,155,352,3.7056303303688765,1489084
4,pitch,C04-T031,256,0,208,600,3.674287173897028,1489084
2,time,C02-T000,256,0,24,48,2.800904148258269,1485756
2,time,C02-T001,256,0,0,0,2.8317284183576703,1485756
2,time,C02-T002,256,0,96,192,3.1034614564850926,1485756
2,time,C02-T003,256,0,127,254,2.7670682817697525,1485756
2,time,C02-T004,256,0,6,12,2.78626059461385,1485756
2,time,C02-T005,256,0,2,4,2.8034880561754107,1485756
2,time,C02-T006,256,0,31,62,3.0682951593771577,1485756
2,time,C02-T007,256,0,3,6,3.024830875918269,1485756
2,time,C02-T008,256,0,58,116,3.085003623738885,1485756
2,time,C02-T009,256,0,0,0,3.096673515625298,1485756
2,time,C02-T010,256,0,0,0,3.068101929500699,1485756
2,time,C02-T011,256,0,128,256,2.7450933204963803,1485756
2,time,C02-T012,256,0,102,204,2.6947496896609664,1485756
2,time,C02-T013,256,0,131,262,2.872998612932861,1485756
2,time,C02-T014,256,0,121,242,2.8996596597135067,1485756
2,time,C02-T015,256,0,59,118,2.8105485383421183,1485756
2,time,C02-T016,256,0,70,140,3.0930762635543942,1485756
2,time,C02-T017,256,0,0,0,3.006191366352141,1485756
2,time,C02-T018,256,0,0,0,2.8307691430673003,1485756
2,time,C02-T019,256,0,42,84,3.0920256581157446,1485756
2,time,C02-T020,256,0,6,12,2.876715353690088,1485756
2,time,C02-T021,256,0,70,140,3.1150370426476,1485756
2,time,C02-T022,256,0,112,224,2.6854393677785993,1485756
2,time,C02-T023,256,0,0,0,3.1292965272441506,1485756
2,time,C02-T024,256,0,109,218,2.719902384094894,1485756
