events,condition,candidates_per_target,targets,loss,metric,mean,sd,median
1,joint,256,1,waveform_l1,both_directed,0.25390625,,0.25390625
1,joint,256,1,waveform_mse,both_directed,0.16796875,,0.16796875
1,joint,256,1,single_stft,both_directed,0.28515625,,0.28515625
1,joint,256,1,linear_mss,both_directed,0.30078125,,0.30078125
1,joint,256,1,smooth_mss,both_directed,0.29296875,,0.29296875
1,joint,256,1,sot_published_composite,both_directed,0.21484375,,0.21484375
1,joint,256,1,linear_jtfot,both_directed,0.484375,,0.484375
1,joint,256,1,log_jtfot,both_directed,0.52734375,,0.52734375
1,joint,256,1,bidirectional_cumulative_energy,both_directed,0.86328125,,0.86328125
1,joint,256,1,log_quadrature_bicul,both_directed,0.8515625,,0.8515625
1,joint,256,1,fading,both_directed,0.75,,0.75
1,joint,256,1,waveform_l1,pitch_directed,0.49609375,,0.49609375
1,joint,256,1,waveform_mse,pitch_directed,0.4453125,,0.4453125
1,joint,256,1,single_stft,pitch_directed,0.5234375,,0.5234375
1,joint,256,1,linear_mss,pitch_directed,0.51171875,,0.51171875
1,joint,256,1,smooth_mss,pitch_directed,0.5546875,,0.5546875
1,joint,256,1,sot_published_composite,pitch_directed,0.5234375,,0.5234375
1,joint,256,1,linear_jtfot,pitch_directed,0.71484375,,0.71484375
1,joint,256,1,log_jtfot,pitch_directed,0.86328125,,0.86328125
1,joint,256,1,bidirectional_cumulative_energy,pitch_directed,0.90625,,0.90625
1,joint,256,1,log_quadrature_bicul,pitch_directed,0.9140625,,0.9140625
1,joint,256,1,fading,pitch_directed,0.7890625,,0.7890625
1,joint,256,1,waveform_l1,time_directed,0.49609375,,0.49609375
1,joint,256,1,waveform_mse,time_directed,0.484375,,0.484375
1,joint,256,1,single_stft,time_directed,0.5703125,,0.5703125
1,joint,256,1,linear_mss,time_directed,0.54296875,,0.54296875
1,joint,256,1,smooth_mss,time_directed,0.50390625,,0.50390625
1,joint,256,1,sot_published_composite,time_directed,0.4609375,,0.4609375
1,joint,256,1,linear_jtfot,time_directed,0.6875,,0.6875
1,joint,256,1,log_jtfot,time_directed,0.609375,,0.609375
1,joint,256,1,bidirectional_cumulative_energy,time_directed,0.95703125,,0.95703125
1,joint,256,1,log_quadrature_bicul,time_directed,0.9375,,0.9375
1,joint,256,1,fading,time_directed,0.9609375,,0.9609375
1,joint,256,1,waveform_l1,dot_directed,0.5390625,,0.5390625
1,joint,256,1,waveform_mse,dot_directed,0.48828125,,0.48828125
1,joint,256,1,single_stft,dot_directed,0.5703125,,0.5703125
1,joint,256,1,linear_mss,dot_directed,0.52734375,,0.52734375
1,joint,256,1,smooth_mss,dot_directed,0.5625,,0.5625
1,joint,256,1,sot_published_composite,dot_directed,0.4609375,,0.4609375
1,joint,256,1,linear_jtfot,dot_directed,0.69921875,,0.69921875
1,joint,256,1,log_jtfot,dot_directed,0.7265625,,0.7265625
1,joint,256,1,bidirectional_cumulative_energy,dot_directed,0.98046875,,0.98046875
1,joint,256,1,log_quadrature_bicul,dot_directed,0.98046875,,0.98046875
1,joint,256,1,fading,dot_directed,0.98046875,,0.98046875
1,joint,256,1,waveform_l1,cosine,0.050438124449107925,,0.050438124449107925
1,joint,256,1,waveform_mse,cosine,-0.004318314085558079,,-0.004318314085558079
1,joint,256,1,single_stft,cosine,0.08163158705109254,,0.08163158705109254
1,joint,256,1,linear_mss,cosine,0.04816421204901675,,0.04816421204901675
1,joint,256,1,smooth_mss,cosine,0.06271493043387737,,0.06271493043387737
1,joint,256,1,sot_published_composite,cosine,-0.057618252006535205,,-0.057618252006535205
1,joint,256,1,linear_jtfot,cosine,0.3136710685409666,,0.3136710685409666
1,joint,256,1,log_jtfot,cosine,0.3536387010528885,,0.3536387010528885
1,joint,256,1,bidirectional_cumulative_energy,cosine,0.8442373839097047,,0.8442373839097047
1,joint,256,1,log_quadrature_bicul,cosine,0.8476381250952165,,0.8476381250952165
1,joint,256,1,fading,cosine,0.755818655835035,,0.755818655835035
1,joint,256,1,waveform_l1,phrase_success,0.25390625,,0.25390625
1,joint,256,1,waveform_mse,phrase_success,0.16796875,,0.16796875
1,joint,256,1,single_stft,phrase_success,0.28515625,,0.28515625
1,joint,256,1,linear_mss,phrase_success,0.30078125,,0.30078125
1,joint,256,1,smooth_mss,phrase_success,0.29296875,,0.29296875
1,joint,256,1,sot_published_composite,phrase_success,0.21484375,,0.21484375
1,joint,256,1,linear_jtfot,phrase_success,0.484375,,0.484375
1,joint,256,1,log_jtfot,phrase_success,0.52734375,,0.52734375
1,joint,256,1,bidirectional_cumulative_energy,phrase_success,0.86328125,,0.86328125
1,joint,256,1,log_quadrature_bicul,phrase_success,0.8515625,,0.8515625
1,joint,256,1,fading,phrase_success,0.75,,0.75
1,joint,256,1,waveform_l1,zero_gradient,0.0,,0.0
1,joint,256,1,waveform_mse,zero_gradient,0.0,,0.0
1,joint,256,1,single_stft,zero_gradient,0.0,,0.0
1,joint,256,1,linear_mss,zero_gradient,0.0,,0.0
1,joint,256,1,smooth_mss,zero_gradient,0.0,,0.0
1,joint,256,1,sot_published_composite,zero_gradient,0.0,,0.0
1,joint,256,1,linear_jtfot,zero_gradient,0.0,,0.0
1,joint,256,1,log_jtfot,zero_gradient,0.0,,0.0
1,joint,256,1,bidirectional_cumulative_energy,zero_gradient,0.0,,0.0
1,joint,256,1,log_quadrature_bicul,zero_gradient,0.0,,0.0
1,joint,256,1,fading,zero_gradient,0.0,,0.0
1,joint,256,1,waveform_l1,original_coordinate_drift,,,
1,joint,256,1,waveform_mse,original_coordinate_drift,,,
1,joint,256,1,single_stft,original_coordinate_drift,,,
1,joint,256,1,linear_mss,original_coordinate_drift,,,
1,joint,256,1,smooth_mss,original_coordinate_drift,,,
1,joint,256,1,sot_published_composite,original_coordinate_drift,,,
1,joint,256,1,linear_jtfot,original_coordinate_drift,,,
1,joint,256,1,log_jtfot,original_coordinate_drift,,,
1,joint,256,1,bidirectional_cumulative_energy,original_coordinate_drift,,,
1,joint,256,1,log_quadrature_bicul,original_coordinate_drift,,,
1,joint,256,1,fading,original_coordinate_drift,,,
2,pitch,256,32,waveform_l1,both_directed,0.52984619140625,0.1310085572136977,0.525390625
2,pitch,256,32,waveform_mse,both_directed,0.50238037109375,0.19718715650728347,0.4892578125
2,pitch,256,32,single_stft,both_directed,0.597900390625,0.11228811347720608,0.58203125
2,pitch,256,32,linear_mss,both_directed,0.6331787109375,0.10369845756062167,0.6298828125
2,pitch,256,32,smooth_mss,both_directed,0.709228515625,0.1283290915286919,0.7001953125
2,pitch,256,32,sot_published_composite,both_directed,0.6868896484375,0.1483300537451047,0.6982421875
2,pitch,256,32,linear_jtfot,both_directed,0.63232421875,0.08026308178974376,0.630859375
2,pitch,256,32,log_jtfot,both_directed,0.65533447265625,0.10349004502563519,0.6669921875
2,pitch,256,32,bidirectional_cumulative_energy,both_directed,0.7674560546875,0.11281638827221976,0.7421875
2,pitch,256,32,log_quadrature_bicul,both_directed,0.77655029296875,0.11466524919393085,0.748046875
2,pitch,256,32,fading,both_directed,0.83038330078125,0.11635193268776105,0.8193359375
2,pitch,256,32,waveform_l1,pitch_directed,0.5897216796875,0.11632424980665287,0.56640625
2,pitch,256,32,waveform_mse,pitch_directed,0.55438232421875,0.19703318993444174,0.5458984375
2,pitch,256,32,single_stft,pitch_directed,0.6534423828125,0.09423562884084861,0.654296875
2,pitch,256,32,linear_mss,pitch_directed,0.687744140625,0.070935839532888,0.69140625
2,pitch,256,32,smooth_mss,pitch_directed,0.774169921875,0.0838865152151902,0.7705078125
2,pitch,256,32,sot_published_composite,pitch_directed,0.7550048828125,0.1079240889346065,0.76171875
2,pitch,256,32,linear_jtfot,pitch_directed,0.70782470703125,0.06032567100544901,0.70703125
2,pitch,256,32,log_jtfot,pitch_directed,0.74530029296875,0.06270807761332088,0.748046875
2,pitch,256,32,bidirectional_cumulative_energy,pitch_directed,0.85821533203125,0.07194539885255369,0.8681640625
2,pitch,256,32,log_quadrature_bicul,pitch_directed,0.86920166015625,0.07032734703902611,0.8798828125
2,pitch,256,32,fading,pitch_directed,0.90032958984375,0.08245689955448447,0.9404296875
2,pitch,256,32,waveform_l1,time_directed,0.5414087619855584,0.20665535221742762,0.625
2,pitch,256,32,waveform_mse,time_directed,0.5642869624120385,0.25426200048973036,0.6647727272727273
2,pitch,256,32,single_stft,time_directed,0.6323723241140518,0.2363947421512694,0.59
2,pitch,256,32,linear_mss,time_directed,0.6238520948179381,0.3013455515820298,0.7604166666666666
2,pitch,256,32,smooth_mss,time_directed,0.5926862225964901,0.28069069080548265,0.7222222222222222
2,pitch,256,32,sot_published_composite,time_directed,0.5357090860341163,0.31136060578779123,0.5
2,pitch,256,32,linear_jtfot,time_directed,0.4835085451999445,0.20478768578331405,0.5
2,pitch,256,32,log_jtfot,time_directed,0.46327086005932394,0.20383678638957603,0.4473684210526316
2,pitch,256,32,bidirectional_cumulative_energy,time_directed,0.5472316247135808,0.16593123668628196,0.545045045045045
2,pitch,256,32,log_quadrature_bicul,time_directed,0.5441102544408504,0.1749824826061334,0.5405405405405406
2,pitch,256,32,fading,time_directed,0.6614250981552297,0.18322823297299057,0.6306306306306306
2,pitch,256,32,waveform_l1,dot_directed,0.59490966796875,0.11517601141160909,0.599609375
2,pitch,256,32,waveform_mse,dot_directed,0.5712890625,0.17687412283921336,0.556640625
2,pitch,256,32,single_stft,dot_directed,0.67620849609375,0.09120950657546285,0.6552734375
2,pitch,256,32,linear_mss,dot_directed,0.710205078125,0.10337198313321604,0.7138671875
2,pitch,256,32,smooth_mss,dot_directed,0.7808837890625,0.11157427325730879,0.791015625
2,pitch,256,32,sot_published_composite,dot_directed,0.74517822265625,0.13546006175511038,0.7529296875
2,pitch,256,32,linear_jtfot,dot_directed,0.69134521484375,0.06964337115372488,0.689453125
2,pitch,256,32,log_jtfot,dot_directed,0.714111328125,0.08064812685528336,0.7255859375
2,pitch,256,32,bidirectional_cumulative_energy,dot_directed,0.84124755859375,0.07089677017327377,0.8427734375
2,pitch,256,32,log_quadrature_bicul,dot_directed,0.85186767578125,0.07140674730102019,0.8544921875
2,pitch,256,32,fading,dot_directed,0.906982421875,0.0687457578362666,0.9130859375
2,pitch,256,32,waveform_l1,cosine,0.027913818709108067,0.0997946010831597,0.039635599629294804
2,pitch,256,32,waveform_mse,cosine,0.0333828999163257,0.11605473623111222,0.05309606798528199
2,pitch,256,32,single_stft,cosine,0.2321239058930326,0.1205422157829041,0.20645025510572318
2,pitch,256,32,linear_mss,cosine,0.1449621105406696,0.13540014836205494,0.14354262656306685
2,pitch,256,32,smooth_mss,cosine,0.18426155793080373,0.13036483352596528,0.1966664414292183
2,pitch,256,32,sot_published_composite,cosine,-0.002107428282262073,0.12710531597345387,0.0014421552013616132
2,pitch,256,32,linear_jtfot,cosine,0.09639300550953953,0.08377235591860964,0.09558008031631941
2,pitch,256,32,log_jtfot,cosine,0.1479150028888719,0.08820730111778904,0.13698773605981918
2,pitch,256,32,bidirectional_cumulative_energy,cosine,0.48587844302554817,0.13337706004771152,0.4853634405869852
2,pitch,256,32,log_quadrature_bicul,cosine,0.5004222828033793,0.13701673989113536,0.48328337486565076
2,pitch,256,32,fading,cosine,0.5349189577400577,0.11011442994574801,0.5375814698263337
2,pitch,256,32,waveform_l1,phrase_success,0.3011474609375,0.13850666831233907,0.287109375
2,pitch,256,32,waveform_mse,phrase_success,0.293701171875,0.20892680964973614,0.2578125
2,pitch,256,32,single_stft,phrase_success,0.388671875,0.12303537372643704,0.369140625
2,pitch,256,32,linear_mss,phrase_success,0.4293212890625,0.1157393697203965,0.41796875
2,pitch,256,32,smooth_mss,phrase_success,0.5511474609375,0.15849682258424885,0.5234375
2,pitch,256,32,sot_published_composite,phrase_success,0.5330810546875,0.17345141815328588,0.501953125
2,pitch,256,32,linear_jtfot,phrase_success,0.419189453125,0.08498971895006738,0.41796875
2,pitch,256,32,log_jtfot,phrase_success,0.4566650390625,0.1177295903381043,0.4453125
2,pitch,256,32,bidirectional_cumulative_energy,phrase_success,0.6162109375,0.16281265962626068,0.583984375
2,pitch,256,32,log_quadrature_bicul,phrase_success,0.635986328125,0.1641507943934287,0.591796875
2,pitch,256,32,fading,phrase_success,0.73681640625,0.17485826791357878,0.72265625
2,pitch,256,32,waveform_l1,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,waveform_mse,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,single_stft,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,linear_mss,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,smooth_mss,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,sot_published_composite,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,linear_jtfot,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,log_jtfot,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,bidirectional_cumulative_energy,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,log_quadrature_bicul,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,fading,zero_gradient,0.0,0.0,0.0
2,pitch,256,32,waveform_l1,original_coordinate_drift,0.996271307609863,0.00148649522241154,0.9967382518015915
2,pitch,256,32,waveform_mse,original_coordinate_drift,0.9979839323045249,0.0009483196593471267,0.9981098358325684
2,pitch,256,32,single_stft,original_coordinate_drift,0.7972601926739827,0.07434637959872084,0.8002684023582807
2,pitch,256,32,linear_mss,original_coordinate_drift,0.9515611093088499,0.01472210664688079,0.9534411652309326
2,pitch,256,32,smooth_mss,original_coordinate_drift,0.9639167042455572,0.01137007865633016,0.9628110096391213
2,pitch,256,32,sot_published_composite,original_coordinate_drift,0.9994888915317828,0.0017499273046807206,0.9999939195440162
2,pitch,256,32,linear_jtfot,original_coordinate_drift,0.9740043512092614,0.014249427780938967,0.9774978061543937
2,pitch,256,32,log_jtfot,original_coordinate_drift,0.9552064551938269,0.018894897030084346,0.9564004328890702
2,pitch,256,32,bidirectional_cumulative_energy,original_coordinate_drift,0.7477739203702909,0.10571358495287501,0.7600682885607568
2,pitch,256,32,log_quadrature_bicul,original_coordinate_drift,0.7313527024569726,0.11263960322344686,0.7481583989407133
2,pitch,256,32,fading,original_coordinate_drift,0.768720949631835,0.0717123292429079,0.758765142440164
4,pitch,256,32,waveform_l1,both_directed,0.42169189453125,0.06433341953684758,0.419921875
4,pitch,256,32,waveform_mse,both_directed,0.397430419921875,0.09763371853702359,0.3828125
4,pitch,256,32,single_stft,both_directed,0.485687255859375,0.05318838858206501,0.478515625
4,pitch,256,32,linear_mss,both_directed,0.50439453125,0.058079586329378964,0.50537109375
