events,condition,target,candidates,loss,metric,mean,eligible
1,joint,C01-T000,256,waveform_l1,both_directed,0.25390625,256
1,joint,C01-T000,256,waveform_mse,both_directed,0.16796875,256
1,joint,C01-T000,256,single_stft,both_directed,0.28515625,256
1,joint,C01-T000,256,linear_mss,both_directed,0.30078125,256
1,joint,C01-T000,256,smooth_mss,both_directed,0.29296875,256
1,joint,C01-T000,256,sot_published_composite,both_directed,0.21484375,256
1,joint,C01-T000,256,linear_jtfot,both_directed,0.484375,256
1,joint,C01-T000,256,log_jtfot,both_directed,0.52734375,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,both_directed,0.86328125,256
1,joint,C01-T000,256,log_quadrature_bicul,both_directed,0.8515625,256
1,joint,C01-T000,256,fading,both_directed,0.75,256
1,joint,C01-T000,256,waveform_l1,pitch_directed,0.49609375,256
1,joint,C01-T000,256,waveform_mse,pitch_directed,0.4453125,256
1,joint,C01-T000,256,single_stft,pitch_directed,0.5234375,256
1,joint,C01-T000,256,linear_mss,pitch_directed,0.51171875,256
1,joint,C01-T000,256,smooth_mss,pitch_directed,0.5546875,256
1,joint,C01-T000,256,sot_published_composite,pitch_directed,0.5234375,256
1,joint,C01-T000,256,linear_jtfot,pitch_directed,0.71484375,256
1,joint,C01-T000,256,log_jtfot,pitch_directed,0.86328125,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,pitch_directed,0.90625,256
1,joint,C01-T000,256,log_quadrature_bicul,pitch_directed,0.9140625,256
1,joint,C01-T000,256,fading,pitch_directed,0.7890625,256
1,joint,C01-T000,256,waveform_l1,time_directed,0.49609375,256
1,joint,C01-T000,256,waveform_mse,time_directed,0.484375,256
1,joint,C01-T000,256,single_stft,time_directed,0.5703125,256
1,joint,C01-T000,256,linear_mss,time_directed,0.54296875,256
1,joint,C01-T000,256,smooth_mss,time_directed,0.50390625,256
1,joint,C01-T000,256,sot_published_composite,time_directed,0.4609375,256
1,joint,C01-T000,256,linear_jtfot,time_directed,0.6875,256
1,joint,C01-T000,256,log_jtfot,time_directed,0.609375,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,time_directed,0.95703125,256
1,joint,C01-T000,256,log_quadrature_bicul,time_directed,0.9375,256
1,joint,C01-T000,256,fading,time_directed,0.9609375,256
1,joint,C01-T000,256,waveform_l1,dot_directed,0.5390625,256
1,joint,C01-T000,256,waveform_mse,dot_directed,0.48828125,256
1,joint,C01-T000,256,single_stft,dot_directed,0.5703125,256
1,joint,C01-T000,256,linear_mss,dot_directed,0.52734375,256
1,joint,C01-T000,256,smooth_mss,dot_directed,0.5625,256
1,joint,C01-T000,256,sot_published_composite,dot_directed,0.4609375,256
1,joint,C01-T000,256,linear_jtfot,dot_directed,0.69921875,256
1,joint,C01-T000,256,log_jtfot,dot_directed,0.7265625,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,dot_directed,0.98046875,256
1,joint,C01-T000,256,log_quadrature_bicul,dot_directed,0.98046875,256
1,joint,C01-T000,256,fading,dot_directed,0.98046875,256
1,joint,C01-T000,256,waveform_l1,cosine,0.050438124449107925,256
1,joint,C01-T000,256,waveform_mse,cosine,-0.004318314085558079,256
1,joint,C01-T000,256,single_stft,cosine,0.08163158705109254,256
1,joint,C01-T000,256,linear_mss,cosine,0.04816421204901675,256
1,joint,C01-T000,256,smooth_mss,cosine,0.06271493043387737,256
1,joint,C01-T000,256,sot_published_composite,cosine,-0.057618252006535205,256
1,joint,C01-T000,256,linear_jtfot,cosine,0.3136710685409666,256
1,joint,C01-T000,256,log_jtfot,cosine,0.3536387010528885,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,cosine,0.8442373839097047,256
1,joint,C01-T000,256,log_quadrature_bicul,cosine,0.8476381250952165,256
1,joint,C01-T000,256,fading,cosine,0.755818655835035,256
1,joint,C01-T000,256,waveform_l1,phrase_success,0.25390625,256
1,joint,C01-T000,256,waveform_mse,phrase_success,0.16796875,256
1,joint,C01-T000,256,single_stft,phrase_success,0.28515625,256
1,joint,C01-T000,256,linear_mss,phrase_success,0.30078125,256
1,joint,C01-T000,256,smooth_mss,phrase_success,0.29296875,256
1,joint,C01-T000,256,sot_published_composite,phrase_success,0.21484375,256
1,joint,C01-T000,256,linear_jtfot,phrase_success,0.484375,256
1,joint,C01-T000,256,log_jtfot,phrase_success,0.52734375,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,phrase_success,0.86328125,256
1,joint,C01-T000,256,log_quadrature_bicul,phrase_success,0.8515625,256
1,joint,C01-T000,256,fading,phrase_success,0.75,256
1,joint,C01-T000,256,waveform_l1,zero_gradient,0.0,256
1,joint,C01-T000,256,waveform_mse,zero_gradient,0.0,256
1,joint,C01-T000,256,single_stft,zero_gradient,0.0,256
1,joint,C01-T000,256,linear_mss,zero_gradient,0.0,256
1,joint,C01-T000,256,smooth_mss,zero_gradient,0.0,256
1,joint,C01-T000,256,sot_published_composite,zero_gradient,0.0,256
1,joint,C01-T000,256,linear_jtfot,zero_gradient,0.0,256
1,joint,C01-T000,256,log_jtfot,zero_gradient,0.0,256
1,joint,C01-T000,256,bidirectional_cumulative_energy,zero_gradient,0.0,256
1,joint,C01-T000,256,log_quadrature_bicul,zero_gradient,0.0,256
1,joint,C01-T000,256,fading,zero_gradient,0.0,256
1,joint,C01-T000,256,waveform_l1,original_coordinate_drift,,0
1,joint,C01-T000,256,waveform_mse,original_coordinate_drift,,0
1,joint,C01-T000,256,single_stft,original_coordinate_drift,,0
1,joint,C01-T000,256,linear_mss,original_coordinate_drift,,0
1,joint,C01-T000,256,smooth_mss,original_coordinate_drift,,0
1,joint,C01-T000,256,sot_published_composite,original_coordinate_drift,,0
1,joint,C01-T000,256,linear_jtfot,original_coordinate_drift,,0
1,joint,C01-T000,256,log_jtfot,original_coordinate_drift,,0
1,joint,C01-T000,256,bidirectional_cumulative_energy,original_coordinate_drift,,0
1,joint,C01-T000,256,log_quadrature_bicul,original_coordinate_drift,,0
