events,condition,loss,mean_phrase_cosine,candidate_sd,eligible,targets,candidates_per_target
1,joint,forward_log,0.7822749629593045,0.17044091146554755,1024,1,1024
1,joint,four_log_decay,0.766106273211964,0.2621590599899241,1024,1,1024
1,joint,forward_log_decay,0.7144984790822466,0.3100253452634014,1024,1,1024
2,joint,forward_log,0.4545605893597856,0.3361028129198498,16384,32,512
2,joint,four_log_decay,0.4153185933074587,0.39895693251316916,16384,32,512
2,joint,forward_log_decay,0.38455065488922374,0.39524172017831594,16384,32,512
4,joint,forward_log,0.2815405803516223,0.30205938696436213,8192,32,256
4,joint,four_log_decay,0.2694837586135891,0.3217559149603179,8192,32,256
4,joint,forward_log_decay,0.2612010182830722,0.31682055046846713,8192,32,256
6,joint,forward_log,0.16854032757527576,0.26515593295187617,8192,32,256
6,joint,four_log_decay,0.16435775138617426,0.2753644864190955,8192,32,256
6,joint,forward_log_decay,0.16006520524538445,0.270398978653409,8192,32,256
8,joint,forward_log,0.1367993362530588,0.24684231761177386,8192,32,256
8,joint,four_log_decay,0.12399997927608296,0.2546839817581625,8192,32,256
8,joint,forward_log_decay,0.12777681662202015,0.252269150530946,8192,32,256
1,pitch,forward_log,0.9089100116595656,0.13669014236070856,512,1,512
1,pitch,four_log_decay,0.8139069434171948,0.18336016485935505,512,1,512
1,pitch,forward_log_decay,0.8284126443776086,0.18121077855824688,512,1,512
2,pitch,forward_log,0.443496233957285,0.27380730911750323,16384,32,512
2,pitch,four_log_decay,0.4845011640374715,0.2933631933218397,16384,32,512
2,pitch,forward_log_decay,0.4876414688578775,0.2859900254185131,16384,32,512
4,pitch,forward_log,0.22765744543912986,0.22473881612009478,8192,32,256
4,pitch,four_log_decay,0.26346863691926947,0.2540052494937323,8192,32,256
4,pitch,forward_log_decay,0.26611905959951115,0.2506088210480576,8192,32,256
1,time,forward_log,0.9765155436523042,0.040833411883858306,1024,1,1024
1,time,four_log_decay,0.9856573897379162,0.024563982735079738,1024,1,1024
1,time,forward_log_decay,0.9902514113289076,0.01511742164151599,1024,1,1024
2,time,forward_log,0.5600074762158738,0.4243717039702218,8192,32,256
2,time,four_log_decay,0.4856549919174711,0.522334459228648,8192,32,256
2,time,forward_log_decay,0.4660516102443892,0.5183866783993726,8192,32,256
4,time,forward_log,0.34035257557442133,0.3634139754592853,8192,32,256
4,time,four_log_decay,0.28180976539126246,0.4105195983372492,8192,32,256
4,time,forward_log_decay,0.2829497847792852,0.40291209413007933,8192,32,256
