case,variant,stage,loss,pitch_mae_cents,onset_mae_ms,joint_event_error,relative_waveform_l2
C04-T0003,all_four,previous,0.01924235607910141,42.87494861570954,101.27117801165825,0.07156228934341959,1.1919691840548834
C04-T0003,all_four,last_orthogonal,0.033072191164425474,3.865680794817429,79.31373769138895,0.049871337760385076,1.198671723557111
C04-T0003,all_four,new,0.019294361389567357,42.58118372493273,100.95830319917998,0.07191914486958138,1.2000986172666015
C04-T0003,frequency_only,previous,0.00010635660137516033,0.24643910044696277,0.08913532258461587,0.00012164113988230899,0.265953400228952
C04-T0003,frequency_only,last_orthogonal,0.0003231049426318546,0.8314706866454797,0.16240394090034915,0.0003676675467666869,0.46273634998257784
C04-T0003,frequency_only,new,2.426037514616535e-07,0.0003367410519702535,0.00016847759951726937,1.8626051686054206e-07,0.0003833328460075048
C04-T0007,all_four,previous,0.012872643143505868,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681233
C04-T0007,all_four,last_orthogonal,0.016179721599617714,378.874255295323,204.15863429393207,0.20888881997470515,1.4013694835906256
C04-T0007,all_four,new,0.01253483849898361,332.5613615648574,190.01038166906346,0.18424659766827642,1.355428748411587
C04-T0007,frequency_only,previous,0.012872643143505868,489.88686955675024,216.16919850109645,0.2501559292957461,1.2975306355681233
C04-T0007,frequency_only,last_orthogonal,0.027453659470536924,334.1892618416362,257.76678609328707,0.21696811705127275,1.3358851735760926
C04-T0007,frequency_only,new,0.012794780898837526,311.25143715782883,202.33953162445673,0.18429479364034934,1.6952096084669235
C06-T0000,all_four,previous,0.007245610232740392,201.53909691752438,121.81740032519474,0.11444481649721973,1.0169028010223016
C06-T0000,all_four,last_orthogonal,0.06763094527290828,128.3370057280865,153.2687081284026,0.1167916472347119,1.337559544064593
C06-T0000,all_four,new,0.012095028798927576,151.3224612046425,111.22450748646735,0.10527821699423218,1.2950417400045455
C06-T0000,frequency_only,previous,0.007245610232740392,201.53909691752438,121.81740032519474,0.11444481649721973,1.0169028010223016
C06-T0000,frequency_only,last_orthogonal,0.023554243585599068,126.20030171219963,94.0307369263313,0.08933568782872126,1.3841089504044972
C06-T0000,frequency_only,new,0.001763911335111118,6.981344063807538,45.54792450770799,0.03029854976209076,0.5427764638513694
C06-T0008,all_four,previous,0.01557577085102042,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294
C06-T0008,all_four,last_orthogonal,0.03827166772018673,108.84604377624383,340.69302465605205,0.21973473055580986,1.460117185442803
C06-T0008,all_four,new,0.020882398033958072,149.98949017999868,331.8759826839958,0.22932816158102987,1.5127223580381681
C06-T0008,frequency_only,previous,0.01557577085102042,310.8598838027,216.15059496405954,0.20050780497219875,1.3315058271335294
C06-T0008,frequency_only,last_orthogonal,0.018071759936316205,329.88547090421577,307.2539001885174,0.2672113210172902,1.132297375500925
C06-T0008,frequency_only,new,0.016833786011499145,340.7255757906578,304.72709199958695,0.2673690370279699,1.383355479776804
C08-T0000,all_four,previous,0.007360697347433057,15.798138627157433,48.29996216552407,0.033943068273245856,1.479950850805689
C08-T0000,all_four,last_orthogonal,0.012049657378223253,14.322391807751128,52.59247335742825,0.03733028758861565,1.2308075169093342
C08-T0000,all_four,new,0.007449362325212037,30.23343165713139,51.56761443552413,0.04027719718637774,1.2724145369951716
C08-T0000,frequency_only,previous,0.007360697347433057,15.798138627157433,48.29996216552407,0.033943068273245856,1.479950850805689
C08-T0000,frequency_only,last_orthogonal,0.011402995595069196,68.09785023213547,74.62279673957492,0.05967791078949565,1.1437054338373827
C08-T0000,frequency_only,new,0.008878009547461029,87.34015800726678,84.19771778714308,0.06985917494621297,1.4853620888048935
C08-T0004,all_four,previous,0.012653511119754823,204.91778227435074,169.3013952508513,0.13990562327179282,1.3079196548178271
C08-T0004,all_four,last_orthogonal,0.03405347903544655,120.65090512683666,137.59306483583654,0.11441702004729681,1.3835556961821072
C08-T0004,all_four,new,0.01902949760499845,267.0990501283349,119.554198245293,0.15070690324126998,1.49115341314962
C08-T0004,frequency_only,previous,0.009757329331300276,124.95283344722449,141.26198234064802,0.11570945686226998,1.3386013910756553
C08-T0004,frequency_only,last_orthogonal,0.02529385443240291,301.62306115128933,183.2323669920848,0.1836761429435244,1.1886611160735745
C08-T0004,frequency_only,new,0.014488143004876365,310.36888620627695,201.625648478865,0.18963258108858946,1.4412418066222006
