loss,label,cardinality,target_index,target_id,pitch_mae_cents,onset_mae_ms,log_spectral_distance_db,initial_loss,reported_loss,terminal_loss,updates,stopped_by,lr_reductions,target_f0_hz,target_onset_seconds,reported_f0_hz,reported_onset_seconds
single_stft,SS,1,0,C01-T0000,1.880255950936771e-08,7.795430967405537e-09,6.299261191302211e-07,0.07665629370187596,1.0813817436633961e-11,2.4451702368407733e-10,7444,patience,22,[319.6450634016123],[0.6182587918583865],[319.64506339814073],[0.6182587918661819]
single_stft,SS,1,1,C01-T0001,1196.9797737648264,1.4969939570363966,17.589268482973814,0.17016587935421118,0.10268703255457082,0.10268712580983888,1606,patience,6,[104.35992279657654],[0.4403357462779581],[208.3560405909603],[0.44183274023499447]
single_stft,SS,1,2,C01-T0002,1200.1612133384067,0.9965683915272028,17.889974651797445,0.15494070834058665,0.08747420950494314,0.08747552612825983,1226,patience,4,[113.94382785966299],[0.24713146505194739],[227.90887771434612],[0.2481280334434746]
single_stft,SS,1,3,C01-T0003,1031.1560057269473,0.002990179622797129,11.593579908291915,0.08980430984475933,0.04229407232094084,0.042294297735135856,3056,patience,5,[176.35887849414257],[1.5405976495100482],[319.9421078176365],[1.540600639689671]
single_stft,SS,1,4,C01-T0004,3.062972275813536e-06,1.3985277380612615e-06,2.6840233148433452e-05,0.0804178844381116,1.941550620601586e-09,2.3482241588802015e-08,4539,patience,17,[257.735530645515],[0.8256243600282724],[257.7355311015116],[0.8256243614268002]
single_stft,SS,1,5,C01-T0005,1.927198400863972e-07,3.508771051485837e-08,4.3041261339488576e-07,0.07918845205823148,1.203071173399703e-10,4.0592776107800774e-10,6595,patience,22,[159.8018121277288],[1.2588351242414102],[159.80181214551783],[1.2588351242063225]
single_stft,SS,1,6,C01-T0006,2.688569367137461e-08,1.860755993732255e-08,1.0028207267033103e-07,0.0872748994109106,2.6443385434321314e-11,2.732348264611899e-10,6568,patience,22,[214.15866345538748],[1.4753714767580477],[214.15866345206166],[1.4753714767394401]
single_stft,SS,1,7,C01-T0007,1196.1097362180165,1.0245625788811719,13.45170428543741,0.14243067837421122,0.11959115957867213,0.11991202252180405,1304,patience,5,[80.42812483486205],[1.0407670950191121],[160.4951946870381],[1.0417916575979933]
single_stft,SS,1,8,C01-T0008,3.671702941687727e-08,7.008904567840091e-08,3.7688678970761316e-07,0.07885964190715362,9.570143940875559e-11,4.039100170999911e-10,6006,patience,22,[190.97200433826546],[0.9706065374785622],[190.9720043423157],[0.9706065375486512]
single_stft,SS,1,9,C01-T0009,1577.8826815749085,0.730403339993968,12.19611990297864,0.10408534706822029,0.05164486584152643,0.05165740056200263,3004,patience,5,[128.39989650481394],[1.6853827737698983],[319.44028721501354],[1.6861131771098923]
single_stft,SS,1,10,C01-T0010,0.005744133729201906,0.0009757948866706556,0.013168818999830184,0.08883568642400277,2.5071217633177724e-06,2.5272599300687938e-05,2013,patience,7,[216.35204377292553],[0.6563021385099024],[216.3513259306378],[0.656303114304789]
single_stft,SS,1,11,C01-T0011,1194.5090429437003,0.7239425003626732,10.437618233534922,0.1412905327374717,0.07169934144507098,0.07269687820852941,1527,patience,6,[91.26887026112895],[1.5179797550188592],[181.95970252382668],[1.5187036975192219]
single_stft,SS,1,12,C01-T0012,1202.6085646658678,0.7381261610769907,18.94426409273024,0.20240527968975278,0.14089225355610507,0.1408922850873107,1111,patience,4,[86.77257024109046],[0.30333890006176967],[173.80682950816697],[0.30407702622284666]
single_stft,SS,1,13,C01-T0013,8.821956498650252e-08,4.075739745701412e-09,6.811461999516734e-08,0.0947848259720631,3.3059883724333625e-11,5.7041642264334e-10,7392,patience,22,[191.1386154853057],[0.4739604552078285],[191.13861547556579],[0.4739604552119042]
single_stft,SS,1,14,C01-T0014,2.6067718650324423e-06,2.8413804642468676e-07,3.7572015089480405e-06,0.09156652462414691,1.0555676209740824e-09,7.056751822764536e-09,5200,patience,19,[201.4422353057216],[0.6325873520436209],[201.44223500240386],[0.632587352327759]
single_stft,SS,1,15,C01-T0015,1190.8065377625705,1.2343837573736138,12.736123586176275,0.15580418209822225,0.08966981529315003,0.08968576987596641,1106,patience,4,[99.07446278264646],[1.1878861505263412],[197.09947396217376],[1.1891205342837148]
single_stft,SS,1,16,C01-T0016,2.545270660903043e-08,1.053757081592721e-08,1.0093753894388138e-07,0.0781602183804261,1.3846902313409507e-11,3.9545533886229276e-10,6652,patience,22,[282.1711804630644],[0.7446774310630053],[282.1711804672129],[0.7446774310524678]
single_stft,SS,1,17,C01-T0017,5.608979947169246e-09,4.313394086352673e-08,5.168212889885023e-07,0.10835838305313274,6.833617511087693e-11,1.194255638747366e-09,7625,patience,22,[128.13441044586256],[0.9620712663612372],[128.13441044544743],[0.9620712663181032]
single_stft,SS,1,18,C01-T0018,581.6021729818696,0.24561276525736364,12.60986804514697,0.14277637005092758,0.1146487867634755,0.11466568720660902,1175,patience,4,[116.91389488497974],[0.5708678442594368],[163.5934376795652],[0.5711134570246942]
single_stft,SS,1,19,C01-T0019,2.752997829702508e-09,1.1570477909117471e-07,2.1070273477144305e-06,0.08717719508295677,1.6020439435729556e-10,6.420821177127091e-10,6298,patience,22,[180.1605844139184],[1.3581675091800443],[180.1605844142049],[1.358167509295749]
single_stft,SS,1,20,C01-T0020,4.348494897499222e-08,1.731370602442439e-08,1.0827617909742514e-07,0.06909052087247927,3.44099432986311e-11,7.179188802723655e-10,6598,patience,22,[171.49001303094798],[1.133358823986654],[171.4900130352555],[1.1333588239693404]
single_stft,SS,1,21,C01-T0021,2.1378898651391864e-08,9.729772543209947e-09,1.2931241596758576e-07,0.09364267528747731,1.9306263325257815e-11,3.357966870842204e-10,6472,patience,22,[154.02836392942868],[1.4700872120219923],[154.02836393133077],[1.470087212031722]
single_stft,SS,1,22,C01-T0022,1.780708913656781e-08,7.144063118857957e-09,1.7689436685124106e-07,0.07958125694667924,1.6505946925650773e-11,2.3068216331379338e-10,7732,patience,22,[144.48782816761073],[0.9202283000446245],[144.48782816612456],[0.9202283000374805]
single_stft,SS,1,23,C01-T0023,8.098055559457862e-09,5.012212866972732e-09,1.0094922713778447e-07,0.10135394883535083,1.0475282096554684e-11,4.797158359246323e-10,6439,patience,22,[138.0343988563048],[0.7530621091024423],[138.03439885695045],[0.7530621090974301]
single_stft,SS,1,24,C01-T0024,1186.9032828442512,0.7477454217299506,15.872652759847444,0.07346640878461928,0.048459175807169776,0.048511902592704395,1186,patience,4,[297.4459897351337],[0.8912590126779274],[149.8523448034904],[0.8905112672561974]
