metric,events,condition,loss,mean,candidate_sd,eligible,targets,candidates_per_target
phrase-cosine,1,joint,waveform_l1,0.05336911879400231,0.6596774521935577,8192,32,256
phrase-cosine,1,joint,waveform_mse,0.011460755145073694,0.6352419726626509,8192,32,256
phrase-cosine,1,joint,single_stft,0.11945676601090122,0.69991893070176,8192,32,256
phrase-cosine,1,joint,mss,0.008897898521518607,0.6783657993572241,8192,32,256
phrase-cosine,1,joint,smooth_mss,0.12414014120239662,0.6656469789191357,8192,32,256
phrase-cosine,1,joint,sot_published_composite,-0.004776250790957764,0.6662204676111031,8192,32,256
phrase-cosine,1,joint,sot_no_cut,-0.0033058497775563175,0.6659228903430666,8192,32,256
phrase-cosine,1,joint,linear_jtfot,0.05107409776548544,0.6698475766423156,8192,32,256
phrase-cosine,1,joint,log_jtfot,0.29201687339996935,0.6376674457264064,8192,32,256
phrase-cosine,1,joint,cel,0.8023409923900133,0.25063940889644387,8192,32,256
phrase-cosine,1,joint,log_cel,0.8162664690107724,0.2453134347226976,8192,32,256
phrase-cosine,1,joint,dec_cel,0.6568099691067961,0.39244122049894714,8192,32,256
phrase-cosine,1,joint,tlog_cel,0.7083650304046727,0.25626285672949534,8192,32,256
phrase-cosine,2,joint,waveform_l1,0.01528519095402418,0.46190980361756856,8192,32,256
phrase-cosine,2,joint,waveform_mse,0.0019860111868828913,0.4368859893711949,8192,32,256
phrase-cosine,2,joint,single_stft,0.05998426943611947,0.4676180916688316,8192,32,256
phrase-cosine,2,joint,mss,0.005972624356817065,0.5050009745702341,8192,32,256
phrase-cosine,2,joint,smooth_mss,0.0711302469980506,0.47119000032201763,8192,32,256
phrase-cosine,2,joint,sot_published_composite,0.0011857507267814095,0.47298462316888773,8192,32,256
phrase-cosine,2,joint,sot_no_cut,-0.0010187102262906517,0.4768526619112827,8192,32,256
phrase-cosine,2,joint,linear_jtfot,0.04123153946341186,0.47714072175600136,8192,32,256
phrase-cosine,2,joint,log_jtfot,0.14668738132192422,0.46994680870754685,8192,32,256
phrase-cosine,2,joint,cel,0.47977320494329484,0.37720157606967636,8192,32,256
phrase-cosine,2,joint,log_cel,0.4984063059199536,0.37391467589626026,8192,32,256
phrase-cosine,2,joint,dec_cel,0.4405037682458892,0.38730744660094546,8192,32,256
phrase-cosine,2,joint,tlog_cel,0.47627152641109083,0.31831394660686196,8192,32,256
phrase-cosine,4,joint,waveform_l1,0.0010072926307104731,0.3071849551641324,8192,32,256
