cardinality,target_index,log_spectral_distance_db
1,0,19.96753037929695
1,1,20.600777277626385
1,2,20.119065363308547
1,3,23.74732535216726
1,4,20.96018806993513
1,5,12.447010300120091
1,6,20.306695073994412
1,7,19.652716991109667
1,8,14.615570448462938
1,9,24.408680665601985
1,10,26.248918256267736
1,11,22.95057338178615
1,12,14.534162901464354
1,13,21.470379907400577
1,14,23.69319592076751
1,15,16.902552874667865
1,16,22.191852475883895
1,17,17.720024274950497
1,18,21.49549849277366
1,19,24.045525293399976
1,20,16.87634578132529
1,21,21.066999001668567
1,22,21.655034169493934
1,23,16.99126671249342
1,24,21.615163057875463
1,25,14.698175859457514
1,26,23.654572774757163
1,27,21.75126950084071
1,28,16.5657948929386
1,29,19.867041063892522
1,30,20.429394999013994
1,31,20.29189194158046
1,32,19.62655450594594
1,33,17.45166831005595
1,34,16.007811729898513
1,35,20.594907966449583
1,36,11.213588522931637
1,37,16.440698558507528
1,38,20.77058638857721
1,39,20.48971282268104
1,40,16.989172103316147
1,41,25.260356640575676
1,42,22.880270663774272
1,43,22.83001611254432
1,44,13.795445168703518
1,45,20.015295742613468
1,46,23.234083861295964
1,47,19.793252931457797
1,48,23.79907016292774
1,49,25.251530755883774
1,50,20.596586949289833
1,51,14.878670762117423
1,52,20.67133936599983
1,53,10.105355699269772
1,54,12.562585227936708
1,55,20.87908435527713
1,56,19.24207965177368
1,57,19.426037580784847
1,58,14.576656297324202
1,59,26.732609410963075
1,60,18.247628760190477
1,61,21.126765076147986
1,62,19.92605055563488
1,63,21.25321596462688
1,64,24.74602603911198
1,65,23.816190103006086
1,66,20.765647032131543
1,67,22.098722340444787
1,68,22.22932055680468
1,69,20.73083549740925
1,70,25.315879615525844
1,71,21.6288612835628
1,72,17.0457554010155
1,73,19.66329342392883
1,74,20.15274861094804
1,75,16.186441256040133
1,76,25.07931640980716
1,77,16.14082392634586
1,78,23.807801624516223
1,79,19.234120455052278
1,80,20.582705486941855
1,81,23.58163813421754
1,82,18.482556149653917
1,83,18.459682655852646
1,84,21.690650626915854
1,85,17.452833099170416
1,86,25.240489803974704
1,87,13.698619151099534
1,88,19.359816887189247
1,89,18.00561240836559
1,90,15.730342156116183
1,91,22.54549222317622
1,92,22.42683817095721
1,93,19.94699020478929
1,94,19.601457189690958
1,95,17.35241595835197
1,96,24.76535527235692
1,97,19.669264343839647
1,98,21.31996354849323
1,99,19.609098064043856
1,100,21.673147304046456
1,101,18.085564632578528
1,102,20.316478069459933
1,103,16.52023844044489
1,104,22.075071435129683
1,105,22.83837954329192
1,106,18.777813669814076
1,107,19.906813615832217
1,108,18.04353863412873
1,109,19.63340300827492
1,110,22.862785956559446
1,111,20.90625118960909
1,112,23.649273974674323
1,113,19.60369562189379
1,114,21.542773825189652
1,115,20.95866174972488
1,116,22.965261822523402
1,117,12.740826016851688
1,118,17.0615592225217
1,119,22.20332039268482
1,120,19.078644972139305
1,121,16.16970100849371
1,122,19.41671466615417
1,123,18.429324701184942
1,124,20.38186706015404
1,125,20.397244399867674
1,126,13.17634180794241
1,127,15.010859125762018
1,128,19.183075866456285
1,129,19.061031213515164
1,130,21.807672744689153
1,131,23.58350623432893
1,132,21.89540300215444
1,133,18.976698426054618
1,134,24.5973320823164
1,135,22.022590614259023
1,136,8.870997252328928
1,137,21.29971765683483
1,138,19.29160202369601
1,139,19.83479062088616
1,140,22.366270805687623
1,141,21.397124516521384
1,142,20.05485078126526
1,143,19.69078841742984
1,144,26.23230368405212
1,145,20.79541232789437
1,146,18.977576925178212
1,147,20.38719109961348
1,148,23.098243848245694
1,149,10.0150013082285
2,0,23.518945733459105
2,1,25.982056975423735
2,2,27.55084830724115
2,3,23.51582537183493
2,4,26.650782612825534
2,5,27.041896819175726
2,6,25.174309783271767
2,7,22.708875836273112
2,8,26.49271352533259
2,9,22.167171630210913
2,10,15.096429728789023
2,11,24.48529178639809
2,12,27.00647882898272
2,13,22.197942225096426
2,14,27.188736257869348
2,15,23.380089679981662
2,16,23.70643638632441
2,17,23.43488642235366
2,18,23.92385941136899
2,19,20.461801457324228
2,20,22.78244111211721
2,21,18.995127016316
2,22,28.259085053571447
2,23,24.578224524288395
2,24,23.00127549955713
2,25,22.244717280449375
2,26,23.54274309958263
2,27,21.16908482593268
2,28,21.525070477918167
2,29,23.52061452485297
2,30,25.285339417504026
2,31,12.505586103373522
2,32,24.405911455775637
2,33,22.351941264403127
2,34,21.595359444736157
2,35,25.03275837169069
2,36,18.215802978844316
2,37,21.967692050262556
2,38,23.033944365879844
2,39,25.424411820000607
2,40,28.412514655164983
2,41,21.492158962313304
2,42,23.763401326857842
2,43,26.455853088210937
2,44,23.51377297763437
2,45,23.43068240854859
2,46,25.69245999435183
2,47,16.683551836479758
2,48,15.968330338181527
2,49,25.911230295956667
2,50,24.476216462301412
2,51,22.28988714318421
2,52,26.631401748701965
2,53,24.998005447839464
2,54,25.482961354722878
2,55,22.431183491727865
2,56,22.962641708905938
2,57,21.85574152730039
2,58,28.15122934007134
2,59,15.350626722588606
2,60,28.006702253625157
2,61,27.846444400149196
2,62,19.262337024055906
2,63,20.698429295668838
2,64,23.80311356440868
2,65,24.1892495129076
2,66,24.934378857172096
2,67,24.13613022393869
2,68,27.378661943527526
2,69,23.955205448215956
2,70,20.169397289638386
2,71,26.31290651434742
2,72,25.284333066839785
2,73,28.932266673002694
2,74,20.168027437830705
2,75,24.693362858593687
2,76,26.172583031888404
2,77,22.271688943677635
2,78,18.910996460782613
2,79,17.89908989451335
2,80,22.17038613993831
2,81,24.841575892105375
2,82,24.769277391568952
2,83,25.082482396491837
2,84,24.123187139035807
2,85,29.119483186586802
2,86,25.564438052212715
2,87,26.20751640013591
2,88,27.59925103254018
2,89,27.10828214595228
2,90,22.112216404103062
2,91,26.02789014550113
2,92,19.882465922999664
2,93,28.24226588055651
2,94,25.48595877270173
2,95,23.47096086964502
2,96,24.301690471420514
2,97,23.88438544853632
2,98,25.53335543425849
2,99,24.755503939290094
2,100,23.065498305337382
2,101,17.62713184815566
2,102,20.69525663507372
2,103,25.040377663927913
2,104,19.624336775396607
2,105,26.898360582518414
2,106,24.46344355472933
2,107,18.613184086938798
2,108,20.71925639033076
2,109,26.76245891287701
2,110,27.482757158591898
2,111,27.11186194202561
2,112,20.964445378551403
2,113,24.856198047971436
2,114,29.492083913874158
2,115,26.39636718030095
2,116,24.67464154439126
2,117,17.31748104250495
2,118,24.5610062290169
2,119,23.63524706513293
